Type,$\varepsilon$,Method,Start,$10^{-3}$,$10^{-4}$,Total Gibbs,final $E_{\rm tr}$
Ising,$10^{-3}$,KL $\eta=\varepsilon/N$,cold,14738,64601,64601,$10.00\times 10^{-5}$
Ising,$10^{-3}$,KL $\eta=\varepsilon/N$,warm,46401,96261,96261,$10.00\times 10^{-5}$
Ising,$10^{-3}$,KL $\eta=\varepsilon$,cold,3684,16149,16149,$10.00\times 10^{-5}$
Ising,$10^{-3}$,KL $\eta=\varepsilon$,warm,11407,23871,23871,$10.00\times 10^{-5}$
Ising,$10^{-3}$,MD $M=1$,cold,12002,37116,37116,$10.00\times 10^{-5}$
Ising,$10^{-3}$,MD $M=1$,warm,26189,51309,51309,$9.99\times 10^{-5}$
Ising,$10^{-3}$,MD $M=2$,cold,12058,37132,37132,$9.99\times 10^{-5}$
Ising,$10^{-3}$,MD $M=2$,warm,23871,48934,48934,$10.00\times 10^{-5}$
Ising,$10^{-3}$,MD $M=5$,cold,12238,37190,37190,$9.99\times 10^{-5}$
Ising,$10^{-3}$,MD $M=5$,warm,19986,44910,44910,$9.99\times 10^{-5}$
Ising,$10^{-6}$,KL $\eta=\varepsilon/N$,cold,--,--,100000,$2.17\times 10^{-1}$
Ising,$10^{-6}$,KL $\eta=\varepsilon/N$,warm,--,--,100000,$1.01\times 10^{-2}$
Ising,$10^{-6}$,KL $\eta=\varepsilon$,cold,--,--,100000,$1.86\times 10^{-1}$
Ising,$10^{-6}$,KL $\eta=\varepsilon$,warm,--,--,100000,$8.90\times 10^{-3}$
Ising,$10^{-6}$,MD $M=1$,cold,--,--,100000,$2.17\times 10^{-1}$
Ising,$10^{-6}$,MD $M=1$,warm,--,--,100000,$9.97\times 10^{-3}$
Ising,$10^{-6}$,MD $M=2$,cold,--,--,100000,$2.17\times 10^{-1}$
Ising,$10^{-6}$,MD $M=2$,warm,--,--,100000,$9.84\times 10^{-3}$
Ising,$10^{-6}$,MD $M=5$,cold,--,--,100000,$2.17\times 10^{-1}$
Ising,$10^{-6}$,MD $M=5$,warm,--,--,100000,$9.35\times 10^{-3}$
Ising,$10^{-9}$,KL $\eta=\varepsilon/N$,cold,--,--,100000,$2.33\times 10^{-1}$
Ising,$10^{-9}$,KL $\eta=\varepsilon/N$,warm,--,--,100000,$1.06\times 10^{-2}$
Ising,$10^{-9}$,KL $\eta=\varepsilon$,cold,--,--,100000,$2.33\times 10^{-1}$
Ising,$10^{-9}$,KL $\eta=\varepsilon$,warm,--,--,100000,$1.06\times 10^{-2}$
Ising,$10^{-9}$,MD $M=1$,cold,--,--,100000,$2.33\times 10^{-1}$
Ising,$10^{-9}$,MD $M=1$,warm,--,--,100000,$1.05\times 10^{-2}$
Ising,$10^{-9}$,MD $M=2$,cold,--,--,100000,$2.33\times 10^{-1}$
