method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,warm_method,warm_variant,source_file,source_root
KL descent (eta=eps/N),cold,False,100000,100001,0,100001,177.72147035598755,0.0,177.72147035598755,1.5436849183125224e-06,0.0011663588536191,0.0023556789749882,-0.935024916941323,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps/N),warm_matched,True,1,2,30409,30411,0.0011157989501953,54.23208546638489,54.23320126533508,9.997628221294327e-09,9.471024778440196e-05,0.0002488804283727,-0.9349993568213292,22;547;551;1884;27405,21;546;550;1883;27404,1.0;0.1;0.01;0.001;0.0001,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps),cold,False,100000,100001,0,100001,177.8892469406128,0.0,177.8892469406128,9.776221187219329e-08,0.000300613946352,0.0005849241081973,-0.9350020307537928,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps),warm_matched,True,1,2,7690,7692,0.0011353492736816,13.663754224777222,13.664889574050903,9.989137902433764e-09,0.0001022323170229,0.0002394950068878,-0.9349987478575752,6;138;137;472;6937,5;137;136;471;6936,1.0;0.1;0.01;0.001;0.0001,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=1),cold,False,100000,251683,0,251683,182.8007607460022,0.0,182.8007607460022,1.0607917502286997e-07,0.0002999379638426,0.0007650235391922,-0.9350305880475308,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=1),warm_matched,False,100000,1,35429,35430,55.631372690200806,69.54242634773254,125.17379903793336,2.147075524231541e-08,9.9991854648096e-05,0.0003958309535264,-0.9349899404585222,13;389;505;1844;32678,3;135;128;461;100000,1.0;0.1;0.01;0.001;0.0001,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=2),cold,False,100000,367254,0,367254,203.99797320365903,0.0,203.99797320365903,2.122467952405521e-08,9.999497214413512e-05,0.0003934001858061,-0.935026485379435,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=2),warm_matched,False,100000,1,77817,77818,55.58127236366272,86.87029528617859,142.4515676498413,1.9223786671364516e-08,9.999859205278572e-05,0.0003710693211815,-0.9349862303983194,23;452;497;1879;74966,3;78;62;235;100000,1.0;0.1;0.01;0.001;0.0001,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=5),cold,False,100000,367573,0,367573,204.1528947353363,0.0,204.1528947353363,2.1282028157140428e-08,9.999614280914448e-05,0.0003939750794016,-0.935026573600856,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=5),warm_matched,False,100000,1,122357,122358,56.01103186607361,105.74388408660889,161.7549159526825,1.702702938373611e-08,9.999240859642766e-05,0.00033273265289,-0.9349802066993076,26;645;481;1961;119244,3;46;24;98;100000,1.0;0.1;0.01;0.001;0.0001,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps/N),cold,False,100000,100001,0,100001,93.08627891540527,0.0,93.08627891540527,0.0310484440894853,0.2328362467172879,0.3330509900071822,-0.981979830585516,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps/N),warm_matched,False,100000,100001,126509,226510,94.13174366950987,119.60743808746338,213.73918175697327,1.592706670284431e-06,0.0009977855777469,0.0032595153498658,-0.9350837973433552,22;547;551;1884;4791;6106;6294;6313;100001,21;546;550;1883;4790;6105;6293;6312;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps),cold,False,100000,100001,0,100001,93.18850588798524,0.0,93.18850588798524,0.0309634412127078,0.2322974754260325,0.332990296595799,-0.981979777358282,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps),warm_matched,False,100000,100001,106611,206612,94.47907948493958,100.87585282325745,195.35493230819705,1.5721612130105834e-06,0.0009909276742532,0.0032380962615116,-0.935082809665552,6;138;137;472;1195;1521;1570;1571;100001,5;137;136;471;1194;1520;1569;1570;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em08.csv,warm
