Type,N,epsilon,Method,hit_1e3,hit_1e4,final_gibbs,final_e_tr,dist_pi_lbfgs,primal,dual
Ising,3,0.001,L-BFGS,57.0,82.0,57179,3.587108221836388e-05,0.0,-0.9347434133076508,-0.934753231647674
Ising,3,0.001,KL $\eta=\varepsilon/N$,13645.0,29430.0,29430,9.999768167867629e-05,0.0006246437440668868,-0.9347566252809216,-0.9347532561262712
Ising,3,0.001,KL $\eta=\varepsilon$,4549.0,9810.0,9810,9.996428861308582e-05,0.0006245577900999267,-0.9347566241556018,-0.9347532561098624
Ising,3,0.001,MD $M=1$,12641.0,23905.0,23905,9.995705913307118e-05,0.000562146736602378,-0.934753663370394,-0.9347532580587198
Ising,3,0.001,MD $M=2$,11646.0,22837.0,22837,9.996061299216707e-05,0.0005654298796140397,-0.9347538262261902,-0.934753258011376
Ising,3,0.001,MD $M=5$,10848.0,21860.0,21860,9.988097767715808e-05,0.0005666283173755302,-0.9347538886587878,-0.9347532579754976
Ising,4,0.001,L-BFGS,75.0,127.0,57088,0.000279267609585,0.0,-0.9354499107905146,-0.9354440763272244
Ising,4,0.001,KL $\eta=\varepsilon/N$,14738.0,64601.0,64601,9.999806722571504e-05,0.0005346057859232374,-0.9354472020783904,-0.9354441343340584
Ising,4,0.001,KL $\eta=\varepsilon$,3684.0,16149.0,16149,9.998843232117416e-05,0.0005345566188910835,-0.9354472017824628,-0.935444134322868
Ising,4,0.001,MD $M=1$,12002.0,37116.0,37116,9.995284328429e-05,0.0005311632523070772,-0.9354770306038336,-0.9354441393249264
Ising,4,0.001,MD $M=2$,12058.0,37132.0,37132,9.991333742848107e-05,0.000531723311682843,-0.9354773505506097,-0.9354441392758176
Ising,4,0.001,MD $M=5$,12238.0,37190.0,37190,9.992326291397012e-05,0.0005301989934644311,-0.9354768198241724,-0.9354441391854948
Ising,5,0.001,L-BFGS,33.0,41.0,60358,4.747807906824164e-05,0.0,-0.945504323216577,-0.94551365337627
Ising,5,0.001,KL $\eta=\varepsilon/N$,9506.0,16687.0,16687,9.99793123668824e-05,0.0019158319696472269,-0.9455171994181356,-0.9455142035337024
Ising,5,0.001,KL $\eta=\varepsilon$,1902.0,3338.0,3338,9.984084195097108e-05,0.0019157722864981616,-0.9455171952758866,-0.9455142035140128
