Test,method,Achieved,First iter <=1e-4,First Gibbs <=1e-4,Final Gibbs,Final E_tr
ising N4,L-BFGS entropy dual,False,,,100000,0.0001376772047267
ising N4,KL descent (eta=eps/N),True,64600.0,64601.0,65442,9.615781511557175e-05
ising N4,KL descent (eta=eps),True,16148.0,16149.0,16359,9.615276378610592e-05
ising N4,MD-Sinkhorn (M=1),True,15930.0,37116.0,37116,9.995284328429e-05
ising N4,MD-Sinkhorn (M=2),True,7978.0,37132.0,37132,9.991333742848107e-05
ising N4,MD-Sinkhorn (M=5),True,3219.0,37190.0,37190,9.992326291397012e-05
ising N6,L-BFGS entropy dual,False,,,100000,0.0002693482475399
ising N6,KL descent (eta=eps/N),True,54083.0,54084.0,60145,6.51957346608778e-05
ising N6,KL descent (eta=eps),True,9013.0,9014.0,10024,6.52043578118211e-05
ising N6,MD-Sinkhorn (M=1),True,8196.0,24119.0,24119,9.983594257784167e-05
ising N6,MD-Sinkhorn (M=2),True,4196.0,24801.0,24801,9.99088665776804e-05
ising N6,MD-Sinkhorn (M=5),True,1922.0,26995.0,26995,9.98945870025747e-05
ising N7,L-BFGS entropy dual,False,,,100000,0.0002828886215573
ising N7,KL descent (eta=eps/N),True,40963.0,40964.0,41641,9.10710168221529e-05
ising N7,KL descent (eta=eps),False,,,100001,0.8091051669488316
ising N7,MD-Sinkhorn (M=1),True,4685.0,21699.0,21699,9.983118456274864e-05
ising N7,MD-Sinkhorn (M=2),True,2674.0,22035.0,22035,9.989481878447393e-05
ising N7,MD-Sinkhorn (M=5),True,1757.0,25331.0,25331,9.992285017479396e-05
ising N8,L-BFGS entropy dual,True,0.0,100000.0,100000,7.57996965325207e-05
ising N8,KL descent (eta=eps/N),False,,,100001,0.0004715705799423
ising N8,KL descent (eta=eps),False,,,36262,0.0001005191276047
ising N8,MD-Sinkhorn (M=1),True,36097.0,84247.0,84247,9.998829354618266e-05
ising N8,MD-Sinkhorn (M=2),True,18068.0,84000.0,84000,9.9990001315442e-05
ising N8,MD-Sinkhorn (M=5),True,7310.0,83425.0,83425,9.999888222522736e-05
random N4,L-BFGS entropy dual,True,0.0,1126.0,1126,9.84433082012041e-07
random N4,KL descent (eta=eps/N),True,22858.0,22859.0,23482,8.729287847775951e-05
random N4,KL descent (eta=eps),True,5714.0,5715.0,5871,8.720480070126114e-05
random N4,MD-Sinkhorn (M=1),True,4930.0,18528.0,18528,9.963384327813368e-05
random N4,MD-Sinkhorn (M=2),True,2515.0,18699.0,18699,9.905658625692458e-05
random N4,MD-Sinkhorn (M=5),True,1073.0,18732.0,18732,9.961971958623308e-05
random N6,L-BFGS entropy dual,True,0.0,302.0,302,8.058369140426806e-07
random N6,KL descent (eta=eps/N),True,26278.0,26279.0,26470,9.60658426856982e-05
random N6,KL descent (eta=eps),True,4378.0,4379.0,4411,9.599415978841156e-05
random N6,MD-Sinkhorn (M=1),True,4046.0,22696.0,22696,9.948704070468912e-05
random N6,MD-Sinkhorn (M=2),True,2032.0,22493.0,22493,9.991359860178833e-05
random N6,MD-Sinkhorn (M=5),True,852.0,21668.0,21668,9.998000316004878e-05
random N7,L-BFGS entropy dual,True,0.0,16.0,16,7.154993584015666e-07
random N7,KL descent (eta=eps/N),True,31517.0,31518.0,33055,7.565334905665659e-05
random N7,KL descent (eta=eps),True,4500.0,4501.0,4721,7.559825248285509e-05
random N7,MD-Sinkhorn (M=1),True,4342.0,29497.0,29497,9.99861783186296e-05
random N7,MD-Sinkhorn (M=2),True,2173.0,29499.0,29499,9.9990358313785e-05
random N7,MD-Sinkhorn (M=5),True,872.0,29499.0,29499,9.993699453698896e-05
random N8,L-BFGS entropy dual,True,0.0,463.0,463,6.763842674930312e-07
random N8,KL descent (eta=eps/N),True,14349.0,14350.0,15386,7.270798982165252e-05
random N8,KL descent (eta=eps),True,1792.0,1793.0,1923,7.251587422456486e-05
random N8,MD-Sinkhorn (M=1),True,1740.0,12733.0,12733,9.98914276467912e-05
random N8,MD-Sinkhorn (M=2),True,871.0,12751.0,12751,9.993084759007767e-05
random N8,MD-Sinkhorn (M=5),True,351.0,12802.0,12802,9.981716368797234e-05
