paper79_label,eps,final_F_marg|KL descent (eta=eps),final_F_marg|KL descent (eta=eps/N),final_e_tr|KL descent (eta=eps),final_e_tr|KL descent (eta=eps/N),gibbs_calls|KL descent (eta=eps),gibbs_calls|KL descent (eta=eps/N),gibbs_to_1e4|KL descent (eta=eps),gibbs_to_1e4|KL descent (eta=eps/N),time_sec|KL descent (eta=eps),time_sec|KL descent (eta=eps/N),gibbs_speedup_eps_over_epsN,time_speedup_eps_over_epsN
small_ising_mixed_N4_seed0,1e-12,0.0310770274790263,0.0310770360771398,0.2330165850010679,0.2330166391858863,100001,100001,100001.0,100001.0,92.69396209716795,92.04631543159483,1.0,0.9930130652426508
small_ising_mixed_N4_seed0,1e-08,0.0309634412127078,0.0310484440894853,0.2322974754260325,0.2328362467172879,100001,100001,100001.0,100001.0,105.71127390861513,105.9931390285492,1.0,1.0026663676400092
small_ising_mixed_N4_seed0,0.0001,9.776221187219329e-08,1.5436849183125224e-06,0.000300613946352,0.0011663588536191,100001,100001,100001.0,100001.0,99.62745785713196,120.06015181541444,1.0,1.2050909899516198
small_ising_mixed_N4_seed0,0.001,9.998850869290931e-09,9.999901603659016e-09,9.615276378610592e-05,9.615781511557175e-05,16359,65442,16149.0,64601.0,27.777990102767944,111.6128270626068,4.0003096166945324,4.018031061631241
small_ising_mixed_N6_seed0,0.001,9.99861172237738e-09,9.999514782690851e-09,6.52043578118211e-05,6.51957346608778e-05,10024,60145,9014.0,54084.0,115.92919898033142,677.0849914550781,6.0,5.840504354472013
small_ising_mixed_N7_seed0,0.001,1.2382086750790462,9.999148517650837e-09,0.8091051669488316,9.10710168221529e-05,100001,41641,100001.0,40964.0,3790.811133146286,1973.7863512039185,0.4096359036409636,0.5206765206384
small_ising_mixed_N8_seed0,0.001,9.999145339631996e-09,2.1990267498016778e-07,0.0001005191276047,0.0004715705799423,36262,100001,36262.0,100001.0,3250.5297899246216,8653.984954118729,2.7577353703601566,2.66233060867269
small_random_mixed_N4_seed0,1e-12,0.4367592760236564,0.4367594751035624,0.6036671723838515,0.6036672626583242,100001,100001,100001.0,100001.0,96.478937625885,96.10713028907776,1.0,0.996146233095466
small_random_mixed_N4_seed0,1e-08,0.4341092784652791,0.4360962007790991,0.6024629676433062,0.603366336602579,100001,100001,100001.0,100001.0,95.87171292304993,109.0988495349884,1.0,1.137967041671145
small_random_mixed_N4_seed0,0.0001,9.99941617852946e-09,6.077396954250289e-06,8.728105843357145e-05,0.0025526791560201,58747,100001,57187.0,100001.0,55.63416934013367,94.47781419754028,1.7486666550090055,1.698197624196132
small_random_mixed_N4_seed0,0.001,9.983612911140809e-09,9.999025361213038e-09,8.720480070126114e-05,8.729287847775951e-05,5871,23482,5715.0,22859.0,13.315737009048462,52.40969705581665,3.999825021872266,3.935921610662828
small_random_mixed_N6_seed0,0.001,9.981616279547264e-09,9.998202540951607e-09,9.599415978841156e-05,9.60658426856982e-05,4411,26470,4379.0,26279.0,21.59301376342773,127.47683906555176,6.001141813199361,5.903614959087386
small_random_mixed_N7_seed0,0.001,9.983239241968286e-09,9.998386010908704e-09,7.559825248285509e-05,7.565334905665659e-05,4721,33055,4501.0,31518.0,66.77263307571411,475.2437012195587,7.002443901355254,7.117342529845655
small_random_mixed_N8_seed0,0.001,9.968408857459577e-09,9.998021430387636e-09,7.251587422456486e-05,7.270798982165252e-05,1923,15386,1793.0,14350.0,206.10001945495603,1721.0667476654053,8.00334634690463,8.350638453197968
