Test,Method,Time,Gibbs to $10^{-4}$,Final Gibbs,Ach.,$E_{\rm tr}$,$F_{\rm marg}$,Obj. gap
ising N4,L-BFGS,34.5,100000,100000,No,1.38e-04,1.64e-08,0.00e+00
ising N4,KL $\varepsilon/N$,111.6,64601,65442,Yes,9.62e-05,1.00e-08,3.10e-05
ising N4,KL $\varepsilon$,27.8,16149,16359,Yes,9.62e-05,1.00e-08,3.10e-05
ising N4,MD M=1,135.6,37116,37116,Yes,1.00e-04,2.11e-08,9.00e-07
ising N4,MD M=2,135.7,37132,37132,Yes,9.99e-05,2.13e-08,5.78e-07
ising N4,MD M=5,135.3,37190,37190,Yes,9.99e-05,2.09e-08,1.11e-06
ising N6,L-BFGS,331.7,100000,100000,No,2.69e-04,5.44e-08,0.00e+00
ising N6,KL $\varepsilon/N$,677.1,54084,60145,Yes,6.52e-05,1.00e-08,1.13e-05
ising N6,KL $\varepsilon$,115.9,9014,10024,Yes,6.52e-05,1.00e-08,1.13e-05
ising N6,MD M=1,549.9,24119,24119,Yes,9.98e-05,6.10e-07,1.34e-05
ising N6,MD M=2,553.4,24801,24801,Yes,9.99e-05,6.00e-07,1.34e-05
ising N6,MD M=5,565.5,26995,26995,Yes,9.99e-05,5.48e-07,1.34e-05
ising N7,L-BFGS,2932.8,100000,100000,No,2.83e-04,1.35e-07,0.00e+00
ising N7,KL $\varepsilon/N$,1973.8,40964,41641,Yes,9.11e-05,1.00e-08,1.27e-05
ising N7,KL $\varepsilon$,3790.8,100001,100001,No,8.09e-01,1.24e+00,1.67e-02
ising N7,MD M=1,1046.7,21699,21699,Yes,9.98e-05,3.47e-08,1.65e-05
ising N7,MD M=2,1012.5,22035,22035,Yes,9.99e-05,2.50e-08,1.57e-05
ising N7,MD M=5,1043.3,25331,25331,Yes,9.99e-05,7.85e-08,1.19e-05
ising N8,L-BFGS,6178.3,100000,100000,Yes,7.58e-05,3.34e-09,0.00e+00
ising N8,KL $\varepsilon/N$,8654.0,100001,100001,No,4.72e-04,2.20e-07,1.67e-05
ising N8,KL $\varepsilon$,3250.5,36262,36262,No,1.01e-04,1.00e-08,8.07e-06
ising N8,MD M=1,7146.5,84247,84247,Yes,1.00e-04,4.29e-08,5.52e-06
ising N8,MD M=2,7093.1,84000,84000,Yes,1.00e-04,4.13e-08,6.82e-06
ising N8,MD M=5,6788.4,83425,83425,Yes,1.00e-04,4.12e-08,7.53e-06
random N4,L-BFGS,3.7,1126,1126,Yes,9.84e-07,1.15e-12,0.00e+00
random N4,KL $\varepsilon/N$,52.4,22859,23482,Yes,8.73e-05,1.00e-08,3.74e-06
random N4,KL $\varepsilon$,13.3,5715,5871,Yes,8.72e-05,9.98e-09,3.74e-06
random N4,MD M=1,138.4,18528,18528,Yes,9.96e-05,1.90e-08,8.99e-07
random N4,MD M=2,135.4,18699,18699,Yes,9.91e-05,1.91e-08,4.42e-06
random N4,MD M=5,136.3,18732,18732,Yes,9.96e-05,1.99e-08,8.19e-06
random N6,L-BFGS,6.1,302,302,Yes,8.06e-07,5.54e-13,0.00e+00
random N6,KL $\varepsilon/N$,127.5,26279,26470,Yes,9.61e-05,1.00e-08,4.26e-06
random N6,KL $\varepsilon$,21.6,4379,4411,Yes,9.60e-05,9.98e-09,4.26e-06
random N6,MD M=1,165.1,22696,22696,Yes,9.95e-05,2.94e-08,1.27e-05
random N6,MD M=2,157.1,22493,22493,Yes,9.99e-05,2.94e-08,1.29e-05
random N6,MD M=5,155.0,21668,21668,Yes,1.00e-04,2.89e-08,1.32e-05
random N7,L-BFGS,4.6,16,16,Yes,7.15e-07,9.52e-13,0.00e+00
random N7,KL $\varepsilon/N$,475.2,31518,33055,Yes,7.57e-05,1.00e-08,6.94e-06
random N7,KL $\varepsilon$,66.8,4501,4721,Yes,7.56e-05,9.98e-09,6.93e-06
random N7,MD M=1,478.6,29497,29497,Yes,1.00e-04,3.53e-08,1.39e-05
random N7,MD M=2,471.1,29499,29499,Yes,1.00e-04,3.53e-08,1.39e-05
random N7,MD M=5,475.8,29499,29499,Yes,9.99e-05,3.53e-08,1.39e-05
random N8,L-BFGS,366.5,463,463,Yes,6.76e-07,5.32e-13,0.00e+00
random N8,KL $\varepsilon/N$,1721.1,14350,15386,Yes,7.27e-05,1.00e-08,8.56e-07
random N8,KL $\varepsilon$,206.1,1793,1923,Yes,7.25e-05,9.97e-09,8.53e-07
random N8,MD M=1,1463.4,12733,12733,Yes,9.99e-05,3.72e-08,5.84e-06
random N8,MD M=2,1518.3,12751,12751,Yes,9.99e-05,3.71e-08,5.80e-06
random N8,MD M=5,1484.2,12802,12802,Yes,9.98e-05,3.68e-08,5.54e-06
