method,mode,rows,feasible_rate,median_e_tr,median_F_marg,median_cost_gibbs,median_cost_time_sec
KL descent (eta=eps),cold,13,0.5384615384615384,9.615276378610592e-05,9.99941617852946e-09,58747.0,92.50749397277832
KL descent (eta=eps),warm_matched,13,0.5384615384615384,9.650796738308224e-05,9.997744741926831e-09,19639.0,188.16166496276853
KL descent (eta=eps/N),cold,13,0.5384615384615384,9.615781511557175e-05,9.999901603659016e-09,65442.0,177.72147035598755
KL descent (eta=eps/N),warm_matched,13,0.5384615384615384,9.689153677742548e-05,9.99901091979563e-09,78839.0,213.73918175697327
MD-Sinkhorn (M=1),cold,13,0.6153846153846154,9.997242778223472e-05,3.7228633272555344e-08,37116.0,214.58281588554385
MD-Sinkhorn (M=1),warm_matched,13,0.6923076923076923,9.998809406056417e-05,3.9923045063425705e-08,35430.0,443.24075984954834
MD-Sinkhorn (M=2),cold,13,0.6923076923076923,9.993084759007767e-05,3.5286318533259794e-08,37132.0,374.7118875980377
MD-Sinkhorn (M=2),warm_matched,13,0.6923076923076923,9.999382823474402e-05,3.9812377976931733e-08,56043.0,762.6132402420044
MD-Sinkhorn (M=5),cold,13,0.6923076923076923,9.993699453698896e-05,3.6800751863521386e-08,37190.0,451.81550431251526
MD-Sinkhorn (M=5),warm_matched,13,0.6923076923076923,9.999240859642766e-05,3.989409309312311e-08,45426.0,571.8255181312561
