eps_final,method,mode_label,instances,feasible_rate,median_e_tr,median_total_gibbs
1e-12,KL descent (eta=eps),annealed,2,0.0,0.0011097822566398,205594.0
1e-12,KL descent (eta=eps),cold,2,0.0,0.4183418786924597,100001.0
1e-12,KL descent (eta=eps/N),annealed,2,0.0,0.0010086034766087501,222305.5
1e-12,KL descent (eta=eps/N),cold,2,0.0,0.41834195092210524,100001.0
1e-12,MD-Sinkhorn (M=1),annealed,2,0.0,0.00103890889164725,817031.0
1e-12,MD-Sinkhorn (M=1),cold,2,0.0,0.4183418786924593,400001.0
1e-12,MD-Sinkhorn (M=2),annealed,2,0.0,0.00099888549348105,1613667.0
1e-12,MD-Sinkhorn (M=2),cold,2,0.0,0.41834178238628666,800001.0
1e-12,MD-Sinkhorn (M=5),annealed,2,0.0,0.0009950548102884002,3994570.0
1e-12,MD-Sinkhorn (M=5),cold,2,0.0,0.4183414934679294,2000001.0
1e-08,KL descent (eta=eps),annealed,2,0.0,0.00101322594864025,204730.0
1e-08,KL descent (eta=eps),cold,2,0.0,0.41738022153466936,100001.0
1e-08,KL descent (eta=eps/N),annealed,2,0.0,0.00101803566212365,218958.5
1e-08,KL descent (eta=eps/N),cold,2,0.0,0.4181012916599334,100001.0
1e-08,MD-Sinkhorn (M=1),annealed,2,0.0,0.0010143075720547,815996.0
1e-08,MD-Sinkhorn (M=1),cold,2,0.0,0.4173802215655236,400001.0
1e-08,MD-Sinkhorn (M=2),annealed,2,0.0,0.00101195950182645,1612919.0
1e-08,MD-Sinkhorn (M=2),cold,2,0.0,0.4164210511938704,800001.0
1e-08,MD-Sinkhorn (M=5),annealed,2,0.0,0.00099465739680005,4012744.5
1e-08,MD-Sinkhorn (M=5),cold,2,0.0,0.4135585121001605,2000001.0
0.0001,KL descent (eta=eps),annealed,2,0.5,9.762402470251336e-05,13665.5
0.0001,KL descent (eta=eps),cold,2,0.5,0.00019394750239278572,79374.0
0.0001,KL descent (eta=eps/N),annealed,2,1.0,9.357895464485422e-05,54625.0
0.0001,KL descent (eta=eps/N),cold,2,0.0,0.0018595190048196,100001.0
0.0001,MD-Sinkhorn (M=1),annealed,2,1.0,9.998316199842365e-05,47882.0
0.0001,MD-Sinkhorn (M=1),cold,2,0.5,0.00019995519581241737,218849.0
0.0001,MD-Sinkhorn (M=2),annealed,2,1.0,9.99597400210503e-05,66930.5
0.0001,MD-Sinkhorn (M=2),cold,2,1.0,9.98686494640208e-05,277589.5
0.0001,MD-Sinkhorn (M=5),annealed,2,1.0,9.99586019909778e-05,83892.0
0.0001,MD-Sinkhorn (M=5),cold,2,1.0,9.986666073117098e-05,278003.0
