experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule,source_file,source_root,wasserstein_case,d
wasserstein,-3,wasserstein_WC_d20,0.001,20x20,L-BFGS entropy dual,,ok,False,100000,27514.70561313629,100000,1.0000006567885236,6.967066448172624e-06,0.0006640248242799,-1,-1,-1,-1,True,0.0,0.0,True,0,100000.0,True,0,100000.0,True,0,100000.0,True,0,100000.0,False,-1,,False,-1,,,,,,,hpc_wasserstein/d20/WC_all_eps1em03.csv,cold,WC,20.0
wasserstein,-3,wasserstein_WP_d20,0.001,20x20,L-BFGS entropy dual,,ok,True,2,2.813814163208008,2,0.9999999999999998,-8.881784196961742e-16,3.800035684307393e-11,0,0,2,2,True,0.0,0.0,True,0,2.0,True,0,2.0,True,0,2.0,True,0,2.0,True,0,2.0,True,0,2.0,,,,,,hpc_wasserstein/d20/WP_all_eps1em03.csv,cold,WP,20.0
wasserstein,-3,wasserstein_WC_d20,0.001,20x20,KL descent (eta=eps/N),,ok,False,100000,16146.935581922531,100001,1.0000010996363364,1.4740701167837818e-07,9.552342205803997e-07,-1,-1,-1,-1,False,0.0053016532066175,4.4284781286485497e-07,True,35,36.0,True,76,77.0,True,186,187.0,True,169,170.0,True,16286,16287.0,True,54461,54462.0,,,,0.0005,eps_over_N,hpc_wasserstein/d20/WC_all_eps1em03.csv,cold,WC,20.0
wasserstein,-3,wasserstein_WP_d20,0.001,20x20,KL descent (eta=eps/N),,ok,False,100000,10675.853883504868,100001,1.0000007199999708,1.5547564532867376e-07,7.596199660815437e-08,-1,-1,-1,-1,True,7.979999704639414e-08,7.199999709772698e-07,True,3,4.0,True,3,4.0,True,3,4.0,True,3,4.0,True,3,4.0,True,3,4.0,,,,0.0005,eps_over_N,hpc_wasserstein/d20/WP_all_eps1em03.csv,cold,WP,20.0
wasserstein,-3,wasserstein_WC_d20,0.001,20x20,KL descent (eta=eps),,ok,False,100000,16186.05626296997,100001,1.0000011095724617,1.473242123051811e-07,1.308186623855821e-07,-1,-1,-1,-1,False,0.0053200830117051,4.527839381207599e-07,True,18,19.0,True,41,42.0,True,104,105.0,True,95,96.0,True,7721,7722.0,True,26835,26836.0,,,,0.001,eps,hpc_wasserstein/d20/WC_all_eps1em03.csv,cold,WC,20.0
wasserstein,-3,wasserstein_WP_d20,0.001,20x20,KL descent (eta=eps),,ok,False,100000,10712.449729681017,100001,1.0000007199999708,1.5547564532867376e-07,7.596199660815437e-08,-1,-1,-1,-1,True,7.979999704639414e-08,7.199999709772698e-07,True,2,3.0,True,2,3.0,True,2,3.0,True,2,3.0,True,2,3.0,True,2,3.0,,,,0.001,eps,hpc_wasserstein/d20/WP_all_eps1em03.csv,cold,WP,20.0
wasserstein,-3,wasserstein_WC_d20,0.001,20x20,MD-Sinkhorn (M=1),1.0,ok,False,100000,2776.288328886032,16259,1.0000006350069814,1.5864721856417098e-07,9.999967789598472e-05,-1,-1,-1,-1,False,0.004319604090521,2.1781542125509645e-08,True,18,37.0,True,38,77.0,True,96,193.0,True,101,203.0,True,8527,16259.0,False,-1,,,,,,,hpc_wasserstein/d20/WC_all_eps1em03.csv,cold,WC,20.0
wasserstein,-3,wasserstein_WP_d20,0.001,20x20,MD-Sinkhorn (M=1),1.0,ok,False,100000,73.31528735160828,4,1.0000007199312777,1.6061847557533558e-07,7.766614854450614e-08,-1,-1,-1,-1,True,8.150414898315889e-08,7.199312777039779e-07,True,2,4.0,True,2,4.0,True,2,4.0,True,2,4.0,True,2,4.0,True,2,4.0,,,,,,hpc_wasserstein/d20/WP_all_eps1em03.csv,cold,WP,20.0
wasserstein,-3,wasserstein_WC_d20,0.001,20x20,MD-Sinkhorn (M=2),2.0,ok,False,100000,2762.481060028076,16025,1.000000634735192,1.586980946112257e-07,9.99972103276956e-05,-1,-1,-1,-1,False,0.0043187881109626,2.205333160532064e-08,True,10,41.0,True,29,117.0,True,101,405.0,True,110,441.0,True,4700,16025.0,False,-1,,,,,,,hpc_wasserstein/d20/WC_all_eps1em03.csv,cold,WC,20.0
wasserstein,-3,wasserstein_WP_d20,0.001,20x20,MD-Sinkhorn (M=2),2.0,ok,False,100000,73.96780347824097,4,1.0000007199312788,1.606183744583313e-07,7.76661153075791e-08,-1,-1,-1,-1,True,8.150411574740699e-08,7.199312790362455e-07,True,1,4.0,True,1,4.0,True,1,4.0,True,1,4.0,True,1,4.0,True,1,4.0,,,,,,hpc_wasserstein/d20/WP_all_eps1em03.csv,cold,WP,20.0
