algo,M_inner,d,hit_k,hit_rate,gibbs_median
MD,1,2,5,1.0,11.0
MD,1,3,5,1.0,9.0
MD,1,4,5,1.0,11.0
MD,1,5,5,1.0,13.0
MD,1,6,5,1.0,15.0
MD,1,7,5,1.0,17.0
MD,1,8,5,1.0,11.0
MD,1,9,5,1.0,31.0
MD,1,10,5,1.0,39.0
MD,1,11,5,1.0,21.0
MD,1,12,5,1.0,19.0
MD,2,2,5,1.0,17.0
MD,2,3,5,1.0,17.0
MD,2,4,5,1.0,17.0
MD,2,5,5,1.0,13.0
MD,2,6,5,1.0,13.0
MD,2,7,5,1.0,17.0
MD,2,8,5,1.0,13.0
MD,2,9,5,1.0,33.0
MD,2,10,5,1.0,41.0
MD,2,11,5,1.0,21.0
MD,2,12,5,1.0,17.0
MD,5,2,5,1.0,31.0
MD,5,3,5,1.0,41.0
MD,5,4,5,1.0,31.0
MD,5,5,5,1.0,31.0
MD,5,6,5,1.0,31.0
MD,5,7,5,1.0,31.0
MD,5,8,5,1.0,31.0
MD,5,9,5,1.0,41.0
MD,5,10,5,1.0,41.0
MD,5,11,5,1.0,31.0
MD,5,12,5,1.0,31.0
