exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E2_N2_MD_M125,2,2,0,1.0,1e-08,25000,MD,1,1,11.0,0.014533281326293945,0.0013212073932994497,11.0,0.014533281326293945
E2_N2_MD_M125,2,2,0,1.0,1e-08,25000,MD,2,1,17.0,0.014010906219482422,0.0008241709540872013,17.0,0.0150146484375
E2_N2_MD_M125,2,2,0,1.0,1e-08,25000,MD,5,1,41.0,0.030198335647583008,0.0007365447718922685,41.0,0.031210660934448242
E2_N2_MD_M125,2,3,0,1.0,1e-08,25000,MD,1,1,9.0,0.01052236557006836,0.0011691517300075954,9.0,0.011506795883178711
E2_N2_MD_M125,2,3,0,1.0,1e-08,25000,MD,2,1,17.0,0.01910567283630371,0.0011238631080178654,17.0,0.01910567283630371
E2_N2_MD_M125,2,3,0,1.0,1e-08,25000,MD,5,1,41.0,0.030693531036376953,0.0007486227082043159,41.0,0.030693531036376953
E2_N2_MD_M125,2,4,0,1.0,1e-08,25000,MD,1,1,17.0,0.02129340171813965,0.0012525530422435088,17.0,0.0222928524017334
E2_N2_MD_M125,2,4,0,1.0,1e-08,25000,MD,2,1,17.0,0.026815176010131836,0.0015773632947136374,17.0,0.026815176010131836
E2_N2_MD_M125,2,4,0,1.0,1e-08,25000,MD,5,1,31.0,0.04123044013977051,0.001330014198057113,31.0,0.04221773147583008
E2_N2_MD_M125,2,5,0,1.0,1e-08,25000,MD,1,1,27.0,0.4798727035522461,0.017773063094527634,27.0,0.501969575881958
E2_N2_MD_M125,2,5,0,1.0,1e-08,25000,MD,2,1,29.0,0.518622636795044,0.0178835391998291,29.0,0.5386550426483154
E2_N2_MD_M125,2,5,0,1.0,1e-08,25000,MD,5,1,31.0,0.4830620288848877,0.015582646093060893,31.0,0.5056600570678711
E2_N2_MD_M125,2,6,0,1.0,1e-08,25000,MD,1,1,15.0,0.03309273719787598,0.0022061824798583984,15.0,0.03504610061645508
E2_N2_MD_M125,2,6,0,1.0,1e-08,25000,MD,2,1,13.0,0.024114370346069336,0.0018549515650822567,13.0,0.025212526321411133
E2_N2_MD_M125,2,6,0,1.0,1e-08,25000,MD,5,1,31.0,0.05451035499572754,0.0017583985482492754,31.0,0.05652117729187012
E2_N2_MD_M125,2,7,0,1.0,1e-08,25000,MD,1,1,75.0,1.1579923629760742,0.015439898173014322,75.0,1.169748306274414
E2_N2_MD_M125,2,7,0,1.0,1e-08,25000,MD,2,1,77.0,1.1797118186950684,0.015320932710325563,77.0,1.1912858486175537
E2_N2_MD_M125,2,7,0,1.0,1e-08,25000,MD,5,1,81.0,1.2430167198181152,0.015345885429853275,81.0,1.2570431232452393
E2_N2_MD_M125,2,8,0,1.0,1e-08,25000,MD,1,1,11.0,0.3855881690979004,0.035053469917990944,11.0,0.42618536949157715
E2_N2_MD_M125,2,8,0,1.0,1e-08,25000,MD,2,1,13.0,0.5591211318969727,0.043009317838228665,13.0,0.6021203994750977
E2_N2_MD_M125,2,8,0,1.0,1e-08,25000,MD,5,1,31.0,1.1522951126098633,0.03717081008418914,31.0,1.1784553527832031
E2_N2_MD_M125,2,9,0,1.0,1e-08,25000,MD,1,1,27.0,4.826732397079468,0.1787678665584988,27.0,4.990020751953125
E2_N2_MD_M125,2,9,0,1.0,1e-08,25000,MD,2,1,25.0,4.503852844238281,0.18015411376953125,25.0,4.700403451919556
E2_N2_MD_M125,2,9,0,1.0,1e-08,25000,MD,5,1,31.0,5.649913311004639,0.18225526809692383,31.0,5.826922178268433
E2_N2_MD_M125,2,10,0,1.0,1e-08,25000,MD,1,1,39.0,13.860363006591797,0.3553939232459435,39.0,14.224086284637451
E2_N2_MD_M125,2,10,0,1.0,1e-08,25000,MD,2,1,41.0,16.895277500152588,0.4120799390281119,41.0,17.25355100631714
E2_N2_MD_M125,2,10,0,1.0,1e-08,25000,MD,5,1,41.0,17.18517804145813,0.41915068393800314,41.0,17.682849884033203
E2_N2_MD_M125,2,11,0,1.0,1e-08,25000,MD,1,1,43.0,32.28390622138977,0.7507885167765063,43.0,33.32797312736511
E2_N2_MD_M125,2,11,0,1.0,1e-08,25000,MD,2,1,41.0,30.380955457687378,0.7409989136021312,41.0,31.189301252365112
E2_N2_MD_M125,2,11,0,1.0,1e-08,25000,MD,5,1,41.0,29.758790731430054,0.7258241641812209,41.0,30.934924602508545
