exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E3_N3_KL_vs_MD_M125,3,2,0,1.0,1e-08,25000,KL,0,1,26.0,0.09233808517456055,0.0035514648144061747,26.0,0.09785842895507812
E3_N3_KL_vs_MD_M125,3,2,0,1.0,1e-08,25000,MD,1,1,13.0,0.02801203727722168,0.0021547720982478214,13.0,0.0290069580078125
E3_N3_KL_vs_MD_M125,3,2,0,1.0,1e-08,25000,MD,2,1,25.0,0.04764151573181152,0.001905660629272461,25.0,0.04864978790283203
E3_N3_KL_vs_MD_M125,3,2,0,1.0,1e-08,25000,MD,5,1,61.0,0.10568928718566895,0.0017326112653388351,61.0,0.10669159889221191
E3_N3_KL_vs_MD_M125,3,3,0,1.0,1e-08,25000,KL,0,1,29.0,0.8781476020812988,0.030280951795906855,29.0,0.9047110080718994
E3_N3_KL_vs_MD_M125,3,3,0,1.0,1e-08,25000,MD,1,1,19.0,0.45195865631103516,0.023787297700580797,19.0,0.4825916290283203
E3_N3_KL_vs_MD_M125,3,3,0,1.0,1e-08,25000,MD,2,1,19.0,0.36501145362854004,0.01921112913834421,19.0,0.3840608596801758
E3_N3_KL_vs_MD_M125,3,3,0,1.0,1e-08,25000,MD,5,1,46.0,1.0070924758911133,0.021893314693285072,46.0,1.0356924533843994
E3_N3_KL_vs_MD_M125,3,4,0,1.0,1e-08,25000,KL,0,1,27.0,1.482872486114502,0.054921203189426,27.0,1.5351145267486572
E3_N3_KL_vs_MD_M125,3,4,0,1.0,1e-08,25000,MD,1,1,16.0,0.7247786521911621,0.04529866576194763,16.0,0.770136833190918
E3_N3_KL_vs_MD_M125,3,4,0,1.0,1e-08,25000,MD,2,1,19.0,0.8184959888458252,0.04307873625504343,19.0,0.8468050956726074
E3_N3_KL_vs_MD_M125,3,4,0,1.0,1e-08,25000,MD,5,1,46.0,1.895583152770996,0.04120832940806513,46.0,1.9441955089569092
E3_N3_KL_vs_MD_M125,3,5,0,1.0,1e-08,25000,KL,0,1,76.0,58.0916383266449,0.764363662192696,76.0,58.9634690284729
E3_N3_KL_vs_MD_M125,3,5,0,1.0,1e-08,25000,MD,1,1,67.0,51.147138595581055,0.7633901282922545,67.0,52.01217484474182
E3_N3_KL_vs_MD_M125,3,5,0,1.0,1e-08,25000,MD,2,1,67.0,52.303465843200684,0.7806487439283684,67.0,53.147398710250854
E3_N3_KL_vs_MD_M125,3,5,0,1.0,1e-08,25000,MD,5,1,76.0,55.353862285614014,0.7283402932317633,76.0,56.069525718688965
E3_N3_KL_vs_MD_M125,3,6,0,1.0,1e-08,25000,KL,0,1,29.0,66.39442276954651,2.2894628541222932,29.0,68.64674663543701
E3_N3_KL_vs_MD_M125,3,6,0,1.0,1e-08,25000,MD,1,1,19.0,42.46070170402527,2.234773773896067,19.0,44.79647922515869
E3_N3_KL_vs_MD_M125,3,6,0,1.0,1e-08,25000,MD,2,1,19.0,41.706064224243164,2.1950560118022717,19.0,44.180721044540405
E3_N3_KL_vs_MD_M125,3,6,0,1.0,1e-08,25000,MD,5,1,46.0,107.51963758468628,2.3373834257540493,46.0,110.21290040016174
E3_N3_KL_vs_MD_M125,3,2,1,1.0,1e-08,25000,KL,0,1,27.0,0.06585192680358887,0.002438960251984773,27.0,0.06894469261169434
E3_N3_KL_vs_MD_M125,3,2,1,1.0,1e-08,25000,MD,1,1,13.0,0.017987966537475586,0.0013836897336519682,13.0,0.019002199172973633
E3_N3_KL_vs_MD_M125,3,2,1,1.0,1e-08,25000,MD,2,1,25.0,0.030109405517578125,0.001204376220703125,25.0,0.031110048294067383
E3_N3_KL_vs_MD_M125,3,2,1,1.0,1e-08,25000,MD,5,1,46.0,0.0561830997467041,0.0012213717336240022,46.0,0.0561830997467041
