exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E1_N2_KL_vs_MD_M1,2,2,0,1.0,1e-08,25000,KL,0,1,20.0,0.024086475372314453,0.0012043237686157227,20.0,0.025120258331298828
E1_N2_KL_vs_MD_M1,2,2,0,1.0,1e-08,25000,MD,1,1,11.0,0.010349035263061523,0.0009408213875510476,11.0,0.011446475982666016
E1_N2_KL_vs_MD_M1,2,3,0,1.0,1e-08,25000,KL,0,1,20.0,0.014699697494506836,0.0007349848747253418,20.0,0.01774144172668457
E1_N2_KL_vs_MD_M1,2,3,0,1.0,1e-08,25000,MD,1,1,9.0,0.006295919418334961,0.0006995466020372179,9.0,0.006295919418334961
E1_N2_KL_vs_MD_M1,2,2,1,1.0,1e-08,25000,KL,0,1,18.0,0.013275861740112305,0.0007375478744506836,18.0,0.01426243782043457
E1_N2_KL_vs_MD_M1,2,2,1,1.0,1e-08,25000,MD,1,1,11.0,0.003961324691772461,0.0003601204265247692,11.0,0.003961324691772461
E1_N2_KL_vs_MD_M1,2,3,1,1.0,1e-08,25000,KL,0,1,19.0,0.009612560272216797,0.0005059242248535156,19.0,0.010651111602783203
E1_N2_KL_vs_MD_M1,2,3,1,1.0,1e-08,25000,MD,1,1,11.0,0.003513813018798828,0.0003194375471635298,11.0,0.003513813018798828
E1_N2_KL_vs_MD_M1,2,2,2,1.0,1e-08,25000,KL,0,1,16.0,0.0073986053466796875,0.00046241283416748047,16.0,0.0073986053466796875
E1_N2_KL_vs_MD_M1,2,2,2,1.0,1e-08,25000,MD,1,1,11.0,0.003615856170654297,0.0003287141973322088,11.0,0.003615856170654297
E1_N2_KL_vs_MD_M1,2,3,2,1.0,1e-08,25000,KL,0,1,17.0,0.007992744445800781,0.00047016143798828125,17.0,0.00898885726928711
E1_N2_KL_vs_MD_M1,2,3,2,1.0,1e-08,25000,MD,1,1,9.0,0.0030579566955566406,0.00033977296617296006,9.0,0.0030579566955566406
E1_N2_KL_vs_MD_M1,2,2,3,1.0,1e-08,25000,KL,0,1,17.0,0.007178068161010742,0.0004222393035888672,17.0,0.007178068161010742
E1_N2_KL_vs_MD_M1,2,2,3,1.0,1e-08,25000,MD,1,1,9.0,0.0029571056365966797,0.0003285672929551866,9.0,0.0029571056365966797
E1_N2_KL_vs_MD_M1,2,3,3,1.0,1e-08,25000,KL,0,1,18.0,0.00810694694519043,0.00045038594139946834,18.0,0.009181737899780273
E1_N2_KL_vs_MD_M1,2,3,3,1.0,1e-08,25000,MD,1,1,11.0,0.0035088062286376953,0.0003189823844216087,11.0,0.004509925842285156
E1_N2_KL_vs_MD_M1,2,2,4,1.0,1e-08,25000,KL,0,1,16.0,0.006346464157104492,0.00039665400981903076,16.0,0.0073413848876953125
E1_N2_KL_vs_MD_M1,2,2,4,1.0,1e-08,25000,MD,1,1,9.0,0.002997159957885742,0.0003330177730984158,9.0,0.002997159957885742
E1_N2_KL_vs_MD_M1,2,3,4,1.0,1e-08,25000,KL,0,1,17.0,0.008051633834838867,0.00047362551969640395,17.0,0.008564472198486328
E1_N2_KL_vs_MD_M1,2,3,4,1.0,1e-08,25000,MD,1,1,9.0,0.003617525100708008,0.0004019472334120009,9.0,0.003617525100708008
