exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E2_N2_MD_M125,2,2,0,1.0,1e-08,25000,MD,1,1,11.0,0.003951072692871094,0.0003591884266246449,11.0,0.003951072692871094
E2_N2_MD_M125,2,2,0,1.0,1e-08,25000,MD,2,1,17.0,0.004518985748291016,0.0002658226910759421,17.0,0.004518985748291016
E2_N2_MD_M125,2,2,0,1.0,1e-08,25000,MD,5,1,41.0,0.009668827056884766,0.0002358250501679211,41.0,0.009668827056884766
E2_N2_MD_M125,2,3,0,1.0,1e-08,25000,MD,1,1,9.0,0.003998517990112305,0.00044427977667914494,9.0,0.003998517990112305
E2_N2_MD_M125,2,3,0,1.0,1e-08,25000,MD,2,1,17.0,0.004556179046630859,0.0002680105321547564,17.0,0.004556179046630859
E2_N2_MD_M125,2,3,0,1.0,1e-08,25000,MD,5,1,41.0,0.010622501373291016,0.00025908539934856137,41.0,0.011679649353027344
E2_N2_MD_M125,2,2,1,1.0,1e-08,25000,MD,1,1,11.0,0.003996610641479492,0.0003633282401344993,11.0,0.003996610641479492
E2_N2_MD_M125,2,2,1,1.0,1e-08,25000,MD,2,1,17.0,0.0045278072357177734,0.00026634160210104547,17.0,0.0045278072357177734
E2_N2_MD_M125,2,2,1,1.0,1e-08,25000,MD,5,1,41.0,0.010662317276000977,0.0002600565189268531,41.0,0.010662317276000977
E2_N2_MD_M125,2,3,1,1.0,1e-08,25000,MD,1,1,11.0,0.004617452621459961,0.00041976842013272375,11.0,0.004617452621459961
E2_N2_MD_M125,2,3,1,1.0,1e-08,25000,MD,2,1,17.0,0.005590200424194336,0.00032883531907025506,17.0,0.005590200424194336
E2_N2_MD_M125,2,3,1,1.0,1e-08,25000,MD,5,1,41.0,0.009614229202270508,0.00023449339517732945,41.0,0.01061558723449707
E2_N2_MD_M125,2,2,2,1.0,1e-08,25000,MD,1,1,11.0,0.003249645233154297,0.0002954222939231179,11.0,0.003249645233154297
E2_N2_MD_M125,2,2,2,1.0,1e-08,25000,MD,2,1,17.0,0.004811525344848633,0.00028303090263815485,17.0,0.004811525344848633
E2_N2_MD_M125,2,2,2,1.0,1e-08,25000,MD,5,1,31.0,0.006999015808105469,0.0002257747034872732,31.0,0.007998943328857422
E2_N2_MD_M125,2,3,2,1.0,1e-08,25000,MD,1,1,9.0,0.0036573410034179688,0.0004063712226019965,9.0,0.0036573410034179688
E2_N2_MD_M125,2,3,2,1.0,1e-08,25000,MD,2,1,13.0,0.004045724868774414,0.00031120960529033956,13.0,0.004045724868774414
E2_N2_MD_M125,2,3,2,1.0,1e-08,25000,MD,5,1,31.0,0.00759577751159668,0.00024502508101924774,31.0,0.00759577751159668
E2_N2_MD_M125,2,2,3,1.0,1e-08,25000,MD,1,1,9.0,0.003000020980834961,0.0003333356645372179,9.0,0.003000020980834961
E2_N2_MD_M125,2,2,3,1.0,1e-08,25000,MD,2,1,13.0,0.003320932388305664,0.0002554563375619742,13.0,0.003320932388305664
E2_N2_MD_M125,2,2,3,1.0,1e-08,25000,MD,5,1,31.0,0.00756382942199707,0.00024399449748377646,31.0,0.00756382942199707
E2_N2_MD_M125,2,3,3,1.0,1e-08,25000,MD,1,1,11.0,0.004647493362426758,0.0004224993965842507,11.0,0.004647493362426758
E2_N2_MD_M125,2,3,3,1.0,1e-08,25000,MD,2,1,17.0,0.004716634750366211,0.0002774491029627183,17.0,0.005315065383911133
E2_N2_MD_M125,2,3,3,1.0,1e-08,25000,MD,5,1,41.0,0.010364294052124023,0.000252787659807903,41.0,0.010364294052124023
E2_N2_MD_M125,2,2,4,1.0,1e-08,25000,MD,1,1,9.0,0.0030317306518554688,0.0003368589613172743,9.0,0.0030317306518554688
E2_N2_MD_M125,2,2,4,1.0,1e-08,25000,MD,2,1,13.0,0.004068136215209961,0.0003129335550161508,13.0,0.004068136215209961
E2_N2_MD_M125,2,2,4,1.0,1e-08,25000,MD,5,1,31.0,0.007311582565307617,0.00023585750210669733,31.0,0.007311582565307617
E2_N2_MD_M125,2,3,4,1.0,1e-08,25000,MD,1,1,9.0,0.0029959678649902344,0.00033288531833224825,9.0,0.0040874481201171875
E2_N2_MD_M125,2,3,4,1.0,1e-08,25000,MD,2,1,17.0,0.005703926086425781,0.0003355250639073989,17.0,0.005703926086425781
E2_N2_MD_M125,2,3,4,1.0,1e-08,25000,MD,5,1,41.0,0.01164698600769043,0.00028407282945586414,41.0,0.01164698600769043
