case_id,label,algo,M_inner,d,N,eps,seed,H_kind,normalize_cost,gibbs_total,runtime_sec,time_per_gibbs_sec
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,0.5,0,random,1,4502,1.1298234999994747,0.0002509603509550144
case1_N2,KL descent,KL,,3,2,0.5,0,random,1,1501,0.7469215000019176,0.0004976159227194654
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,0.5,0,random,1,3001,1.1100851000010152,0.00036990506497867887
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,0.5,0,random,1,6001,1.78112770000007,0.00029680514914182137
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,0.5,1,random,1,4502,1.169260900001973,0.0002597203243007492
case1_N2,KL descent,KL,,3,2,0.5,1,random,1,1501,0.7457183000005898,0.0004968143237845369
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,0.5,1,random,1,3001,1.0966457000031369,0.0003654267577484628
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,0.5,1,random,1,6001,1.7561050000003888,0.000292635394101048
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,0.5,2,random,1,4502,1.151006399995822,0.0002556655708564687
case1_N2,KL descent,KL,,3,2,0.5,2,random,1,1501,0.7667585000017425,0.0005108317788152848
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,0.5,2,random,1,3001,1.0970978999976069,0.00036557744085225153
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,0.5,2,random,1,6001,1.8028704000025755,0.0003004283286123272
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,1.0,0,random,1,4502,1.1597010999976192,0.00025759686805811174
case1_N2,KL descent,KL,,3,2,1.0,0,random,1,1501,0.7493893999999273,0.0004992600932711041
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,1.0,0,random,1,3001,1.1011629999993602,0.0003669320226589004
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,1.0,0,random,1,6001,1.7697580000021844,0.000294910514914545
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,1.0,1,random,1,4502,1.1368641999943065,0.0002525242558850081
case1_N2,KL descent,KL,,3,2,1.0,1,random,1,1501,0.739794900000561,0.0004928680213194944
case1_N2,MD-Sinkhorn (M=1),MD,1,3,2,1.0,1,random,1,3001,1.0867387000034796,0.0003621255248262178
case1_N2,MD-Sinkhorn (M=2),MD,2,3,2,1.0,1,random,1,6001,1.7710836000042036,0.00029513141143212856
case1_N2,BGDA (Alg. 2.2),BGDA,,3,2,1.0,2,random,1,4502,1.1692469000045094,0.0002597172145723033
