panel,label,algo,M_inner,N,d,eps,seed,H_kind,normalize_cost,gibbs_total,runtime_sec,time_per_gibbs_sec
vs_d,BGDA (Alg. 2.2),BGDA,,2,2,1.0,0,random,1,47,0.012118899998313282,0.00025784893613432514
vs_d,KL descent,KL,,2,2,1.0,0,random,1,16,0.007718200002273079,0.00048238750014206744
vs_d,MD-Sinkhorn (M=2),MD,2,2,2,1.0,0,random,1,61,0.016586699995968957,0.0002719131146880157
vs_d,BGDA (Alg. 2.2),BGDA,,2,2,1.0,1,random,1,47,0.010791900000185706,0.00022961489362097247
vs_d,KL descent,KL,,2,2,1.0,1,random,1,16,0.007341399999859277,0.0004588374999912048
vs_d,MD-Sinkhorn (M=2),MD,2,2,2,1.0,1,random,1,61,0.016105800001241732,0.00026402950821707757
vs_d,BGDA (Alg. 2.2),BGDA,,2,3,1.0,0,random,1,47,0.013560500003222842,0.0002885212766643158
vs_d,KL descent,KL,,2,3,1.0,0,random,1,16,0.00823800000216579,0.0005148750001353619
vs_d,MD-Sinkhorn (M=2),MD,2,2,3,1.0,0,random,1,61,0.019177800000761636,0.00031439016394691204
vs_d,BGDA (Alg. 2.2),BGDA,,2,3,1.0,1,random,1,47,0.013007900000957306,0.00027676382980760226
vs_d,KL descent,KL,,2,3,1.0,1,random,1,16,0.00821449999784818,0.0005134062498655112
vs_d,MD-Sinkhorn (M=2),MD,2,2,3,1.0,1,random,1,61,0.018564199999673292,0.00030433114753562773
vs_d,BGDA (Alg. 2.2),BGDA,,2,4,1.0,0,random,1,47,0.01612590000149794,0.00034310425535102
vs_d,KL descent,KL,,2,4,1.0,0,random,1,16,0.009594099996320438,0.0005996312497700274
vs_d,MD-Sinkhorn (M=2),MD,2,2,4,1.0,0,random,1,61,0.02315660000022035,0.0003796163934462353
vs_d,BGDA (Alg. 2.2),BGDA,,2,4,1.0,1,random,1,47,0.01634129999729339,0.00034768723398496574
vs_d,KL descent,KL,,2,4,1.0,1,random,1,16,0.009536999998090323,0.0005960624998806452
vs_d,MD-Sinkhorn (M=2),MD,2,2,4,1.0,1,random,1,61,0.029714299998886418,0.0004871196721128921
vs_eps,BGDA (Alg. 2.2),BGDA,,2,3,0.5,0,random,1,47,0.02123320000100648,0.0004517702127873719
vs_eps,KL descent,KL,,2,3,0.5,0,random,1,16,0.009590099994966295,0.0005993812496853934
vs_eps,MD-Sinkhorn (M=2),MD,2,2,3,0.5,0,random,1,61,0.023000499997579027,0.00037705737700949223
vs_eps,BGDA (Alg. 2.2),BGDA,,2,3,0.5,1,random,1,47,0.022003899997798726,0.0004681680850595474
vs_eps,KL descent,KL,,2,3,0.5,1,random,1,16,0.008104300002742093,0.0005065187501713808
vs_eps,MD-Sinkhorn (M=2),MD,2,2,3,0.5,1,random,1,61,0.018314599998120684,0.00030023934423148663
vs_eps,BGDA (Alg. 2.2),BGDA,,2,3,0.7071067811865476,0,random,1,47,0.012572100000397768,0.0002674914893701653
vs_eps,KL descent,KL,,2,3,0.7071067811865476,0,random,1,16,0.008059899999352638,0.0005037437499595399
vs_eps,MD-Sinkhorn (M=2),MD,2,2,3,0.7071067811865476,0,random,1,61,0.018154299999878276,0.00029761147540784057
vs_eps,BGDA (Alg. 2.2),BGDA,,2,3,0.7071067811865476,1,random,1,47,0.01208069999847794,0.0002570361701803817
vs_eps,KL descent,KL,,2,3,0.7071067811865476,1,random,1,16,0.008091299998341128,0.0005057062498963205
vs_eps,MD-Sinkhorn (M=2),MD,2,2,3,0.7071067811865476,1,random,1,61,0.017935299998498522,0.00029402131145079543
vs_eps,BGDA (Alg. 2.2),BGDA,,2,3,1.0,0,random,1,47,0.012134299999161158,0.00025817659572683314
vs_eps,KL descent,KL,,2,3,1.0,0,random,1,16,0.007987999997567385,0.0004992499998479616
vs_eps,MD-Sinkhorn (M=2),MD,2,2,3,1.0,0,random,1,61,0.01803789999394212,0.0002957032785892151
vs_eps,BGDA (Alg. 2.2),BGDA,,2,3,1.0,1,random,1,47,0.012087000002793502,0.0002571702128253937
vs_eps,KL descent,KL,,2,3,1.0,1,random,1,16,0.008189100000890903,0.0005118187500556814
vs_eps,MD-Sinkhorn (M=2),MD,2,2,3,1.0,1,random,1,61,0.017936199998075608,0.0002940360655422231
