seed,N,d,i,eps,eta_inner,M_inner,tol_inner,tol_F_inner,inner_step,time_sec,gibbs_calls,e_i_tr,F_i,log10_e_i_tr,log10_F_i,converged
0,4,3,0,1.0,1.0,80,0.0,0.0,0,0.0,1,0.6007286197599426,0.5274924521554517,-0.22132167701263722,-0.277783750268544,0
0,4,3,0,1.0,1.0,80,0.0,0.0,1,0.21642327308654785,2,0.017787113500901206,0.000604919122793892,-1.7498945236609704,-3.218302686293449,0
0,4,3,0,1.0,1.0,80,0.0,0.0,2,0.42986249923706055,3,0.0013314731382523637,6.309717505388135e-06,-2.8756675907920313,-5.199990084273689,0
0,4,3,0,1.0,1.0,80,0.0,0.0,3,0.61025071144104,4,0.00015468716564406675,8.509541434372674e-08,-3.8105457181117917,-7.070093842722398,0
0,4,3,0,1.0,1.0,80,0.0,0.0,4,0.8817317485809326,5,1.8208777457281702e-05,1.1798833304403248e-09,-4.739719211886569,-8.92816093460152,0
0,4,3,0,1.0,1.0,80,0.0,0.0,5,1.0219850540161133,6,2.1470875665341874e-06,1.6407778802655633e-11,-5.668150242994078,-10.784950207432084,0
0,4,3,0,1.0,1.0,80,0.0,0.0,6,1.0936224460601807,7,2.532339532927495e-07,2.284547031479895e-13,-6.596478065087957,-12.641199896788866,0
0,4,3,0,1.0,1.0,80,0.0,0.0,7,1.318044900894165,8,2.986811151575061e-08,3.2533823963274758e-15,-7.524792235856413,-14.487664887577473,0
0,4,3,0,1.0,1.0,80,0.0,0.0,8,1.5679924488067627,9,3.5228486434140385e-09,5.030002421437583e-16,-8.45310601555908,-15.29843180587514,0
0,4,3,0,1.0,1.0,80,0.0,0.0,9,1.8039500713348389,10,4.1550784232490044e-10,1.8342034641603142e-16,-9.381420774897228,-15.736552490661127,0
0,4,3,0,1.0,1.0,80,0.0,0.0,10,2.043771982192993,11,4.900764999144219e-11,1.6469597857881307e-16,-10.309736122221475,-15.78331700497325,0
0,4,3,0,1.0,1.0,80,0.0,0.0,11,2.2792270183563232,12,5.780309086258907e-12,1.4709347805416804e-16,-11.238048938245958,-15.83240658293446,0
0,4,3,0,1.0,1.0,80,0.0,0.0,12,2.5108182430267334,13,6.817912197450236e-13,3.3577745976994427e-17,-12.166348596009502,-16.473948460747376,0
0,4,3,0,1.0,1.0,80,0.0,0.0,13,2.7888870239257812,14,8.058845854159981e-14,8.805856715256274e-17,-13.093727151130436,-16.055228385453805,0
0,4,3,0,1.0,1.0,80,0.0,0.0,14,2.9953198432922363,15,9.673523132316722e-15,7.851786172102503e-16,-14.014415325476405,-15.105031536063937,0
0,4,3,0,1.0,1.0,80,0.0,0.0,15,3.1782214641571045,16,1.5919476917505729e-15,3.1291534470155027e-16,-14.798071206420776,-15.504573139455884,0
0,4,3,0,1.0,1.0,80,0.0,0.0,16,3.4091739654541016,17,4.868825744360909e-16,-6.310297152101685e-17,-15.31257576860809,nan,0
0,4,3,0,1.0,1.0,80,0.0,0.0,17,3.610593795776367,18,4.0080085777702396e-16,-4.3825427613098445e-17,-15.397071357681156,nan,0
0,4,3,0,1.0,1.0,80,0.0,0.0,18,3.827523708343506,19,7.77439073205046e-16,2.1352445450436072e-16,-15.109333636008706,-15.67055237896163,0
0,4,3,0,1.0,1.0,80,0.0,0.0,19,4.01099967956543,20,6.482579758041511e-16,1.2297025725567756e-16,-15.188252131208943,-15.910199918412122,0
