seed,k,kl_i
0,0,1.5333233864831395
0,1,0.0017276208827800427
0,2,0.0001942301308412455
0,3,4.33540366545364e-05
0,4,1.1664489213735483e-05
0,5,3.4127193040769683e-06
0,6,1.0417033340570842e-06
0,7,3.2523712312406826e-07
0,8,1.028092790183717e-07
0,9,3.2723086352766156e-08
0,10,1.0455687800950994e-08
0,11,3.3480756999647792e-09
0,12,1.073424335359007e-09
0,13,3.4438843841016917e-10
0,14,1.1053422685924325e-10
0,15,3.548526569864393e-11
0,16,1.1393123566472075e-11
0,17,3.65789568771527e-12
0,18,1.175016821969124e-12
0,19,3.7669737454790086e-13
0,20,1.2103060527455826e-13
0,21,3.890896599015015e-14
0,22,1.2512098779412121e-14
0,23,3.692380284691856e-15
0,24,1.2821336850048392e-15
0,25,1.1559480965055976e-16
0,26,4.65761254217807e-16
0,27,5.19851555242931e-16
0,28,4.738479242941533e-16
0,29,-5.924353692795703e-17
0,30,-1.9461916577726874e-16
1,0,2.0690154594570456
1,1,0.0022139655956857664
1,2,0.0006609426971716566
1,3,0.00031780474740346343
1,4,0.0001794342025392883
1,5,0.00011009733908246173
1,6,7.11173014270039e-05
1,7,4.75800852551651e-05
1,8,3.265595472209948e-05
1,9,2.2850759307467203e-05
1,10,1.6232791437812994e-05
1,11,1.1671062121832842e-05
1,12,8.473462503669421e-06
1,13,6.201343671640141e-06
1,14,4.568686890812608e-06
1,15,3.384584417253462e-06
1,16,2.519106447271876e-06
1,17,1.882364582554718e-06
1,18,1.4113037864699283e-06
1,19,1.0611666598862044e-06
1,20,7.998610441414811e-07
1,21,6.041754525023223e-07
1,22,4.571955533332235e-07
1,23,3.4651591753300567e-07
1,24,2.6298706409252177e-07
1,25,1.998281200024112e-07
1,26,1.519924509903593e-07
1,27,1.157103657268752e-07
1,28,8.815704212166028e-08
1,29,6.72098216428869e-08
1,30,5.126982275996373e-08
2,0,0.24901714100482772
2,1,0.00038160368708514236
2,2,1.6820722419217564e-06
2,3,8.484953563752044e-09
2,4,4.372438158781496e-11
2,5,2.2684823922730072e-13
2,6,1.0619914408059053e-15
2,7,1.0924000249936585e-15
2,8,8.970598590001634e-16
2,9,8.348168958541212e-16
2,10,9.125124953618937e-16
2,11,4.862717853014912e-16
2,12,4.832576359559877e-16
2,13,5.37061408444149e-16
2,14,1.7188171983057605e-16
2,15,8.62193998798721e-16
2,16,2.5885885910510568e-17
2,17,6.562215955968424e-16
2,18,4.718838530383695e-16
2,19,5.612684619588524e-17
2,20,2.3397605188229177e-16
2,21,4.526774781344824e-16
2,22,3.8614772727574724e-16
2,23,1.0663187639680056e-15
2,24,3.549356710490535e-16
2,25,3.730172271768192e-16
2,26,3.618492882862073e-16
2,27,-1.459417802161212e-16
2,28,8.645588912048386e-16
2,29,1.3977746703572113e-17
2,30,4.702992021644648e-16
3,0,0.5898088954249782
3,1,0.0008777478452394842
3,2,8.398971329418546e-06
3,3,1.241414447069068e-07
3,4,1.9655832481064607e-09
3,5,3.140368776713038e-11
3,6,5.026469718594525e-13
3,7,7.713357735193796e-15
3,8,1.7975618187166586e-16
3,9,-9.738014449681244e-17
3,10,7.227677752635775e-16
3,11,6.455924894483202e-17
3,12,3.5532837190981775e-16
3,13,-3.0426751594346045e-17
3,14,5.875591321062063e-17
3,15,-6.086119355018227e-17
3,16,2.6670401795704337e-16
3,17,4.464002267170838e-16
3,18,5.05211900822249e-16
3,19,3.465215126222994e-16
3,20,2.5356761902971956e-16
3,21,1.7730620346666775e-16
3,22,7.711068821113901e-16
3,23,3.2643466867836404e-16
3,24,1.9267971007902437e-16
3,25,3.3291694186085637e-16
3,26,2.8411762079981414e-16
3,27,4.148626374033682e-16
3,28,9.722521712799763e-17
3,29,-1.0064317218739317e-16
3,30,3.967061160412953e-16
4,0,0.39835357014443173
4,1,0.0005895558953339884
4,2,4.24236428710835e-06
4,3,4.0591041879178786e-08
4,4,4.051287231348941e-10
4,5,4.07018501517697e-12
4,6,4.073545164888467e-14
4,7,-8.334572011384372e-17
4,8,-2.6344442403548283e-16
4,9,-2.7955933014960774e-16
4,10,9.444775641273727e-17
4,11,-3.685169302047028e-16
4,12,-7.217986656486451e-17
4,13,-4.758873982243976e-16
4,14,-8.840929681079517e-17
4,15,8.213374392708762e-17
4,16,-1.89249042922542e-16
4,17,-1.0682346933342663e-16
4,18,-6.073409458026529e-16
4,19,-1.10517883797208e-16
4,20,-3.922295553265535e-16
4,21,-3.258563215834631e-16
4,22,1.1469339490804655e-16
4,23,-1.804640873424048e-16
4,24,-4.852028456397693e-16
4,25,3.0766627466730527e-17
4,26,-2.2446143437722295e-16
4,27,-6.111110903422183e-16
4,28,-4.662779550315839e-16
4,29,6.484258980451126e-18
4,30,2.275332041352731e-16
