small_kind,small_case,N,seed,eps,method,mode,phase,iter,local_gibbs_calls,warmup_gibbs_calls,total_gibbs_calls,time_sec,F_marg,e_tr,dual_value,converged_final
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,9,10,0,10,1.4690773487091064,0.5896038225320508,0.8296583484978022,-0.9978510081984472,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,19,20,0,20,3.091017246246338,0.5803420128556002,0.8265545871650228,-0.9955038074885643,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,29,30,0,30,4.711410760879517,0.5711840523125968,0.8233906811120586,-0.9931987475193472,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,39,40,0,40,6.163562297821045,0.5621290716503529,0.8201660277705193,-0.9909352522957924,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,49,50,0,50,7.191557884216309,0.5531761368089188,0.8168800501856328,-0.9887127518585478,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,59,60,0,60,8.221502304077148,0.5443242582798598,0.8135321989150408,-0.9865306823770417,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,69,70,0,70,9.261547803878784,0.5355724001082189,0.8101219538602731,-0.9843884862176889,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,79,80,0,80,10.301486253738403,0.5269194884615728,0.8066488259941617,-0.9822856119890598,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,89,90,0,90,11.347586154937744,0.5183644196871836,0.8031123589392852,-0.980221514566175,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,99,100,0,100,12.387605905532837,0.5099060677743386,0.799512130342406,-0.9781956550963309,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,109,110,0,110,13.427542924880981,0.5015432911336094,0.7958477529771163,-0.9762075009890813,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,119,120,0,120,14.46758484840393,0.4932749385979215,0.792118875490865,-0.9742565258933646,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,129,130,0,130,15.503615379333496,0.48509985454214155,0.7883251826923774,-0.9723422096650803,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,139,140,0,140,16.54350781440735,0.47701688300852096,0.7844663952500177,-0.9704640383287311,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,149,150,0,150,17.5835063457489,0.46902487071596244,0.7805422686397842,-0.9686215040373148,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,159,160,0,160,18.632472038269043,0.46112266882356856,0.776552591142002,-0.9668141050350794,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,169,170,0,170,19.67243790626526,0.45330912911063204,0.7724971776813642,-0.9650413456320075,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,179,180,0,180,20.712462186813354,0.44558289428966535,0.7683757165739815,-0.9633027364085635,True
