method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,True,64600,64601,0,64601,108.18525052070618,0.0,108.18525052070618,1.0814666475677491e-08,9.999806722571503e-05,0.00019444182486227923,-0.934995891929264,-0.9354441343340585,,,,True,14737,14738,14738,True,64600,64601,64601,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,True,95812,95813,448,96261,159.60845470428467,0.749352216720581,160.35780692100525,1.0814555784017648e-08,9.999755383083286e-05,0.00019444082647601668,-0.9349958919139318,-0.9354441343334623,13;60;375,12;59;374,1.0;0.1;0.01,True,45952,45953,46401,True,95812,95813,96261,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,True,16148,16149,0,16149,26.851784229278564,0.0,26.851784229278564,1.081258211090406e-08,9.998843232117416e-05,0.0001944230852973794,-0.9349958916413732,-0.9354441343228679,,,,True,3683,3684,3684,True,16148,16149,16149,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,True,23752,23753,118,23871,39.52542018890381,0.1991105079650879,39.7245306968689,1.0814183724096341e-08,9.999583598385708e-05,0.0001944374836072571,-0.9349958918625887,-0.9354441343314662,4;21;93,3;20;92,1.0;0.1;0.01,True,11288,11289,11407,True,23752,23753,23871,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,True,15930,37116,0,37116,41.60932970046997,0.0,41.60932970046997,2.106170551051861e-08,9.995284328429e-05,0.00039176033199767035,-0.9350259040382431,-0.9354441393249264,,,,True,3705,12002,12002,True,15930,37116,37116,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,True,22391,50846,463,51309,57.815818786621094,0.43822765350341797,58.25404644012451,2.0936289068150483e-08,9.992054511176462e-05,0.0003905245956220549,-0.9350257371182258,-0.9354441391984797,9;128;326,2;36;82,1.0;0.1;0.01,True,10161,25726,26189,True,22391,50846,51309,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,True,7978,37132,0,37132,33.69235110282898,0.0,33.69235110282898,2.1252583052596254e-08,9.991333742848107e-05,0.0003937182596512878,-0.9350262260016702,-0.9354441392758175,,,,True,1867,12058,12058,True,7978,37132,37132,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,True,10752,48409,525,48934,44.392587423324585,0.43372344970703125,44.826310873031616,2.088298451836403e-08,9.999203174232418e-05,0.0003899317379433831,-0.9350256087614481,-0.9354441393489636,17;196;312,2;28;39,1.0;0.1;0.01,True,4644,23346,23871,True,10752,48409,48934,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,True,3219,37190,0,37190,28.90572237968445,0.0,28.90572237968445,2.090552290019655e-08,9.992326291397013e-05,0.0003902205254515678,-0.9350256920251213,-0.9354441391854948,,,,True,764,12238,12238,True,3219,37190,37190,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,True,3996,44255,655,44910,34.65242075920105,0.4981961250305176,35.15061688423157,2.0461014487513504e-08,9.993605089914093e-05,0.0003855645987558831,-0.9350249344190729,-0.9354441392720972,20;354;281,2;22;14,1.0;0.1;0.01,True,1547,19331,19986,True,3996,44255,44910,ising,mixed,4,0,small_ising_mixed_N4_seed0,0.001,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
