method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,999999,1000000,0,1000000,922.2765564918518,0.0,922.2765564918518,0.4360962014462113,0.603366336905024,1.676522613683887,-0.9269641193025953,-0.9267293234007098,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,998690,998691,1309,1000000,922.5971660614014,1.2140424251556396,923.811208486557,0.0001245784309241993,0.008872479848157044,0.029579901597384776,-0.8366798541845809,-0.8364426432511793,15;83;331;141;147;148;148;148;148,14;82;330;140;146;147;147;147;147,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,999999,1000000,0,1000000,924.9785842895508,0.0,924.9785842895508,0.43410928117582476,0.6024629688715184,1.6728513636562692,-0.9269628754145309,-0.9260269968220252,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,999677,999678,322,1000000,921.2825713157654,0.29923462867736816,921.5818059444427,0.0001246256433289659,0.008864912051187142,0.029616464011797794,-0.8366825874162664,-0.8364430025818652,3;21;83;35;36;36;36;36;36,2;20;82;34;35;35;35;35;35,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,250000,1000000,0,1000000,529.1249740123749,0.0,529.1249740123749,0.43609620137335015,0.6033663367343928,1.6765226134893263,-0.926964119302577,-0.926729323360507,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,249681,998723,1277,1000000,527.4938251972198,0.6831998825073242,528.1770250797272,0.00011226495314043219,0.008689940291303622,0.02783412008698443,-0.8369450362754949,-0.8364189463744753,9;85;321;137;145;145;145;145;145,2;21;80;34;36;36;36;36;36,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,125000,1000000,0,1000000,467.53182888031006,0.0,467.53182888031006,0.4360962013731318,0.603366336734378,1.6765226134889022,-0.926964119302577,-0.9267293233605002,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,124840,998719,1281,1000000,467.2500593662262,0.6103620529174805,467.8604214191437,9.776380378907979e-05,0.008355679483446017,0.026025864230271284,-0.8366436713493676,-0.8363978982767694,17;105;329;129;137;145;137;145;137,2;13;41;16;17;18;17;18;17,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,50000,1000000,0,1000000,431.1636047363281,0.0,431.1636047363281,0.4360962013724786,0.6033663367343346,1.676522613487631,-0.9269641193025767,-0.9267293233604799,,,,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,49927,998531,1469,1000000,428.789963722229,0.6423201560974121,429.4322838783264,8.031879892434951e-05,0.008822754003164327,0.02172807480105667,-0.837361569862686,-0.8363566679885369,21;161;501;121;141;121;141;141;121,2;8;25;6;7;6;7;7;6,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,False,-1,-1,-1,False,-1,-1,-1,random,mixed,4,0,small_random_mixed_N4_seed0,1e-09,1.0,10.0,1000000,1000000,matched,MD-Sinkhorn (M=5)
