method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,final_dual_value,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,19,20,0,20,0.014074563980102539,0.0,0.014074563980102539,0.3666565802735736,0.7698510951847978,0.8555549017867563,-0.9603073928196794,-0.9544100294759139,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,0,1,19,20,0.0,0.017520904541015625,0.017520904541015625,0.45296033379778794,0.8115459589925472,1.1562104126021187,-0.9412275254283886,-0.9679462043397076,10;9,9;8,1.0;0.1,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,19,20,0,20,0.015975475311279297,0.0,0.015975475311279297,0.3508440320662657,0.7564107443596597,0.8424167228262864,-0.9601015969449374,-0.9430478480955499,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,0,1,19,20,0.0,0.015973329544067383,0.015973329544067383,0.36384597259395635,0.7670912300253129,0.8549087310109822,-0.9600130680526613,-0.9412602284282389,3;16,2;15,1.0;0.1,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,7,20,0,20,0.009030342102050781,0.0,0.009030342102050781,0.365844763384193,0.7691643866714654,0.85513239695083,-0.9603019132605599,-0.9537952346687679,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,0,1,19,20,0.0010018348693847656,0.011017322540283203,0.012019157409667969,0.41873371895767864,0.7987517353028395,1.0469922885477265,-0.9489908541876272,-0.9553410234013413,7;12,2;4,1.0;0.1,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,4,20,0,20,0.008958101272583008,0.0,0.008958101272583008,0.3658451586677189,0.7691648261282006,0.8551300004939735,-0.9603019162014799,-0.9537952281833161,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,0,1,19,20,0.0,0.008123636245727539,0.008123636245727539,0.4981626677425349,0.8203021640150338,1.2963505238209732,-0.9273563133509104,-0.9821460227562209,13;6,2;1,1.0;0.1,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,2,20,0,20,0.007066249847412109,0.0,0.007066249847412109,0.36342320993488103,0.7671066247234567,0.8538700073357726,-0.9602822186711935,-0.9519802198472352,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,0,1,19,20,0.0,0.011928081512451172,0.011928081512451172,0.6154855677568887,0.8453151466596912,1.5312159984236842,-0.8939398546482766,-1.0290402909490222,17;2,2;1,1.0;0.1,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=5)
