small_kind,small_case,N,seed,eps,method,mode,phase,iter,local_gibbs_calls,warmup_gibbs_calls,total_gibbs_calls,time_sec,F_marg,e_tr,dual_value,converged_final
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,0,1,0,1,0.0,0.3743244687109914,0.7761635254068233,-0.9603319368330046,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,1,2,0,2,0.0,0.37392482476280436,0.7758377639446495,-0.9600161065072865,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,2,3,0,3,0.0010688304901123047,0.3735247386491817,0.7755112876448103,-0.9597007373628096,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,3,4,0,4,0.0020515918731689453,0.3731242113229874,0.7751840957388162,-0.9593858294114406,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,4,5,0,5,0.003063678741455078,0.3727232437456949,0.7748561874630828,-0.9590713826638502,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,5,6,0,6,0.003993988037109375,0.3723218368874037,0.7745275620589668,-0.9587573971295237,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,6,7,0,7,0.003993988037109375,0.3719199917268533,0.7741982187728091,-0.9584438728167435,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,7,8,0,8,0.005049943923950195,0.3715177092514405,0.7738681568559744,-0.9581308097325901,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,8,9,0,9,0.006049394607543945,0.37111499045722784,0.7735373755648852,-0.9578182078829401,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,9,10,0,10,0.007047414779663086,0.3707118363489644,0.7732058741610682,-0.9575060672724621,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,10,11,0,11,0.007047414779663086,0.37030824794009376,0.7728736519111882,-0.9571943879046066,False
ising,mixed,3,0,0.001,KL eta=eps/N,cold,target_eps,11,12,0,12,0.008049249649047852,0.3699042262527723,0.7725407080870916,-0.9568831697816106,False
