method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,19,20,0,20,0.013882875442504883,0.0,0.013882875442504883,0.3666565802735736,0.7698510951847978,0.8555549017867563,-0.9603073928196794,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,0,1,19,20,0.0,0.014166593551635742,0.014166593551635742,0.45296033379778794,0.8115459589925472,1.1562104126021187,-0.9412275254283886,10;9,9;8,1.0;0.1;0.01,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,19,20,0,20,0.013031721115112305,0.0,0.013031721115112305,0.3508440320662657,0.7564107443596597,0.8424167228262864,-0.9601015969449374,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,0,1,19,20,0.0,0.013509511947631836,0.013509511947631836,0.36384597259395635,0.7670912300253129,0.8549087310109822,-0.9600130680526613,3;16,2;15,1.0;0.1;0.01,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,7,20,0,20,0.00897979736328125,0.0,0.00897979736328125,0.365844763384193,0.7691643866714654,0.85513239695083,-0.9603019132605599,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,0,1,19,20,0.0009980201721191406,0.009001493453979492,0.009999513626098633,0.41873371895767864,0.7987517353028395,1.0469922885477265,-0.9489908541876272,7;12,2;4,1.0;0.1;0.01,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,4,20,0,20,0.00808858871459961,0.0,0.00808858871459961,0.3658451586677189,0.7691648261282006,0.8551300004939735,-0.9603019162014799,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,0,1,19,20,0.0,0.008015871047973633,0.008015871047973633,0.4981626677425349,0.8203021640150338,1.2963505238209732,-0.9273563133509104,13;6,2;1,1.0;0.1;0.01,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,2,20,0,20,0.005967617034912109,0.0,0.005967617034912109,0.36342320993488103,0.7671066247234567,0.8538700073357726,-0.9602822186711935,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,0,1,19,20,0.0,0.008000373840332031,0.008000373840332031,0.6154855677568887,0.8453151466596912,1.5312159984236842,-0.8939398546482766,17;2,2;1,1.0;0.1;0.01,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=5)
