method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,total_hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,total_hit_tr_gibbs_le_1em04,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,max_gibbs_calls,warm_method,warm_variant
KL descent (eta=eps/N),cold,False,19,20,0,20,0.014007806777954102,0.0,0.014007806777954102,0.3666565802735736,0.7698510951847978,0.8555549017867563,-0.9603073928196794,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps/N)
KL descent (eta=eps/N),warm_matched,False,19,20,78,98,0.013698101043701172,0.05911993980407715,0.07281804084777832,0.005665227609103541,0.09255183599481182,0.14053937355663804,-0.931560124370555,18;20;20;20,17;19;19;19,1.0;0.1;0.01;0.001,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps/N)
KL descent (eta=eps),cold,False,19,20,0,20,0.015093088150024414,0.0,0.015093088150024414,0.3508440320662657,0.7564107443596597,0.8424167228262864,-0.9601015969449374,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps)
KL descent (eta=eps),warm_matched,False,19,20,65,85,0.013996601104736328,0.05203986167907715,0.06603646278381348,0.00036512254141675925,0.02029690064482348,0.036254493663256726,-0.9337873425928334,5;20;20;20,4;19;19;19,1.0;0.1;0.01;0.001,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,KL descent (eta=eps)
MD-Sinkhorn (M=1),cold,False,7,20,0,20,0.009991645812988281,0.0,0.009991645812988281,0.365844763384193,0.7691643866714654,0.85513239695083,-0.9603019132605599,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=1),warm_matched,False,7,20,67,87,0.008996725082397461,0.03476071357727051,0.04375743865966797,0.005939897669566761,0.09351854647197066,0.13988273769104037,-0.9314420320820307,7;20;20;20,2;7;7;7,1.0;0.1;0.01;0.001,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=1)
MD-Sinkhorn (M=2),cold,False,4,20,0,20,0.008014678955078125,0.0,0.008014678955078125,0.3658451586677189,0.7691648261282006,0.8551300004939735,-0.9603019162014799,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=2),warm_matched,False,4,20,77,97,0.007192373275756836,0.030950069427490234,0.03814244270324707,0.005983717241423034,0.09233998962871687,0.14314912687628356,-0.9316781572459216,17;20;20;20,3;4;4;4,1.0;0.1;0.01;0.001,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=2)
MD-Sinkhorn (M=5),cold,False,2,20,0,20,0.006098747253417969,0.0,0.006098747253417969,0.36342320993488103,0.7671066247234567,0.8538700073357726,-0.9602822186711935,,,,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=5)
MD-Sinkhorn (M=5),warm_matched,False,2,20,77,97,0.0061113834381103516,0.028616905212402344,0.034728288650512695,0.01089292201464406,0.11493841328461357,0.19986139495484917,-0.9303513986785161,17;20;20;20,2;2;2;2,1.0;0.1;0.01;0.001,False,-1,-1,-1,False,-1,-1,-1,ising,mixed,3,0,small_ising_mixed_N3_seed0,0.001,1.0,10.0,20,20,matched,MD-Sinkhorn (M=5)
