"experiment","paper79_index","paper79_label","eps","dims","method","M_inner","status","converged","iters","time_sec","gibbs_calls","final_cost","final_F_marg","final_e_tr","hit_F_iter","hit_tr_iter","hit_F_gibbs","hit_tr_gibbs","same_limit_to_lbfgs","dist_pi_to_lbfgs","objective_gap_to_lbfgs","small_kind","small_case","seed"
"small","-2","small_ising_ground_N4_seed0","0.0001","2x2x2x2","L-BFGS entropy dual","","ok","True","4","2.224454641342163","4","-0.981979805183913","3.8181639463299816e-13","5.423511676363461e-07","0","-1","4","-1","True","0.0","0.0","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","0.0001","2x2x2x2","KL descent","","ok","True","1","0.0019958019256591797","2","-0.9819798341599226","3.498010536358245e-16","6.027670029773852e-10","0","0","1","1","True","7.807309480659015e-07","2.897600959173019e-08","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","0.0001","2x2x2x2","MD-Sinkhorn (M=1)","1","ok","True","0","0.002004384994506836","1","-0.9819798341599224","1.464062955881327e-16","6.028722521201943e-10","0","0","1","1","True","7.807310306472268e-07","2.8976009369685585e-08","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","0.0001","2x2x2x2","MD-Sinkhorn (M=2)","2","ok","True","0","0.0009942054748535156","1","-0.9819798341599224","1.464062955881327e-16","6.028722521201943e-10","0","0","1","1","True","7.807310306472268e-07","2.8976009369685585e-08","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","0.0001","2x2x2x2","MD-Sinkhorn (M=5)","5","ok","True","0","0.001996278762817383","1","-0.9819798341599224","1.464062955881327e-16","6.028722521201943e-10","0","0","1","1","True","7.807310306472268e-07","2.8976009369685585e-08","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-08","2x2x2x2","L-BFGS entropy dual","","ok","True","6","2.5300521850585938","6","-0.9819797019985222","1.995855673832117e-13","4.467957389731897e-07","0","-1","6","-1","True","0.0","0.0","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-08","2x2x2x2","KL descent","","ok","True","1","0.0019941329956054688","2","-0.9819798341599226","1.8430235228816583e-16","6.028723076313215e-10","0","0","1","1","True","7.112532087315408e-07","1.3216140037908275e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-08","2x2x2x2","MD-Sinkhorn (M=1)","1","ok","True","0","0.0010027885437011719","1","-0.9819798341599224","1.2847729471276526e-16","6.028718080309183e-10","0","0","1","1","True","7.112532082101886e-07","1.3216140015703814e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-08","2x2x2x2","MD-Sinkhorn (M=2)","2","ok","True","0","0.0019960403442382812","1","-0.9819798341599224","1.2847729471276526e-16","6.028718080309183e-10","0","0","1","1","True","7.112532082101886e-07","1.3216140015703814e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-08","2x2x2x2","MD-Sinkhorn (M=5)","5","ok","True","0","0.0019986629486083984","1","-0.9819798341599224","1.2847729471276526e-16","6.028718080309183e-10","0","0","1","1","True","7.112532082101886e-07","1.3216140015703814e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-12","2x2x2x2","L-BFGS entropy dual","","ok","True","4","1.7381958961486816","4","-0.9819794015038019","4.763952546001448e-13","6.88351331092907e-07","0","-1","4","-1","True","0.0","0.0","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-12","2x2x2x2","KL descent","","ok","True","1","0.0019865036010742188","2","-0.9819798341599228","8.704277759866503e-17","6.028725296759364e-10","0","0","1","1","False","1.07191637624492e-06","4.326561209300195e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-12","2x2x2x2","MD-Sinkhorn (M=1)","1","ok","True","0","0.0019865036010742188","1","-0.9819798341599224","2.497337055019762e-16","6.028725851871278e-10","0","0","1","1","False","1.0719163758801863e-06","4.3265612048593027e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-12","2x2x2x2","MD-Sinkhorn (M=2)","2","ok","True","0","0.0019989013671875","1","-0.9819798341599224","2.497337055019762e-16","6.028725851871278e-10","0","0","1","1","False","1.0719163758801863e-06","4.3265612048593027e-07","ising","ground","0"
"small","-2","small_ising_ground_N4_seed0","1e-12","2x2x2x2","MD-Sinkhorn (M=5)","5","ok","True","0","0.0010175704956054688","1","-0.9819798341599224","2.497337055019762e-16","6.028725851871278e-10","0","0","1","1","False","1.0719163758801863e-06","4.3265612048593027e-07","ising","ground","0"
