small_kind,small_case,N,seed,eps,method,iter,gibbs_calls,time_sec,F_marg,e_tr,converged_final
ising,ground,4,0,0.001,KL descent,0,1,0.0,1.8387956687417911e-16,6.028717525197184e-10,False
ising,ground,4,0,0.001,KL descent,1,2,0.0,3.592957541051502e-16,6.018284204323902e-10,False
ising,ground,4,0,0.001,KL descent,2,3,0.0010004043579101562,1.690987169627709e-17,6.007858655012322e-10,False
ising,ground,4,0,0.001,KL descent,3,4,0.003000020980834961,-4.5390560428465493e-17,5.997447538597392e-10,False
ising,ground,4,0,0.001,KL descent,4,5,0.004998207092285156,1.6674798838816248e-16,5.987073614655024e-10,False
ising,ground,4,0,0.001,KL descent,5,6,0.007001399993896484,1.4056707727819516e-16,5.976715233836069e-10,False
ising,ground,4,0,0.001,KL descent,6,7,0.007996082305908203,2.3681947656950806e-16,5.9663651796892e-10,False
ising,ground,4,0,0.001,KL descent,7,8,0.009997129440307617,1.2810159060978747e-16,5.956066750920029e-10,False
ising,ground,4,0,0.001,KL descent,8,9,0.01299905776977539,6.429711337388197e-17,5.94577054258322e-10,False
ising,ground,4,0,0.001,KL descent,9,10,0.01502227783203125,2.6066806135318035e-16,5.935490432487027e-10,False
ising,ground,4,0,0.001,KL descent,10,11,0.016994476318359375,8.713214567505737e-17,5.925230861515017e-10,False
ising,ground,4,0,0.001,KL descent,11,12,0.018994569778442383,2.539512196386172e-16,5.914991274563535e-10,False
ising,ground,4,0,0.001,KL descent,12,13,0.01999497413635254,7.042100820515042e-17,5.904769451171176e-10,False
ising,ground,4,0,0.001,KL descent,13,14,0.02099609375,5.618115477074977e-17,5.894574828247703e-10,False
ising,ground,4,0,0.001,KL descent,14,15,0.021998167037963867,1.1121908238421576e-16,5.884390752442509e-10,False
ising,ground,4,0,0.001,KL descent,15,16,0.02299666404724121,1.4547996110697159e-16,5.874246089557536e-10,False
ising,ground,4,0,0.001,KL descent,16,17,0.025997638702392578,2.366927393293986e-16,5.864109198229007e-10,False
ising,ground,4,0,0.001,KL descent,17,18,0.02799820899963379,1.8340225611820656e-16,5.853988960247868e-10,False
