experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,2,1.5736639499664307,2,-0.9642319696776205,0.10063978162218634,0.4067862520470228,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,3000,5.246989488601685,3001,-0.9416344077365439,0.4725021998854507,0.6159902424361795,-1,-1,-1,-1,False,0.8036389712556562,0.022597561941076538,True,207,208,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1,0.0029985904693603516,5,-0.9819797775805217,0.03096366256019296,0.23229895101481363,-1,-1,-1,-1,False,0.39313185097924674,0.017747807902901203,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1,0.004529714584350586,9,-0.9819796118608018,0.03085332227903075,0.2315942111565179,-1,-1,-1,-1,False,0.392437851613522,0.017747642183181367,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1,0.010229349136352539,21,-0.981978517527123,0.030539708165580406,0.22955629917928838,-1,-1,-1,-1,False,0.39042950066526116,0.01774654784950247,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,2,0.001977682113647461,2,-0.8137123187511023,0.17191547539899416,0.37582912511410255,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,3000,8.361279964447021,3001,-0.7956873523871886,0.08591971702247671,0.22671710783443677,-1,-1,-1,-1,False,0.770996986611589,0.018024966363913708,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1,0.010530471801757812,5,-0.9269628715445992,0.43410542755369097,0.6024617134460489,-1,-1,-1,-1,False,1.3179518407526198,0.11325055279349694,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1,0.016104936599731445,9,-0.9269588772276771,0.43145779834851533,0.6012546499143798,-1,-1,-1,-1,False,1.3165724409483786,0.11324655847657483,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1,0.03438520431518555,21,-0.9269308740251623,0.42355302976556586,0.5976240705599476,-1,-1,-1,-1,False,1.3123253912330701,0.11321855527406,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
