experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,2,2.8388009071350098,2,-0.9642319696776205,0.10063978162218634,0.4067862520470228,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,3000,5.941867828369141,3001,-0.9796452217645646,0.02107338389264051,0.14546777998401472,-1,-1,-1,-1,False,0.2944572045803817,0.015413252086944107,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1,0.011625289916992188,5,-0.9819797775805217,0.03096366256019296,0.23229895101481363,-1,-1,-1,-1,False,0.39313185097924674,0.017747807902901203,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1,0.008218050003051758,9,-0.9819796118608018,0.03085332227903075,0.2315942111565179,-1,-1,-1,-1,False,0.392437851613522,0.017747642183181367,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1,0.01840686798095703,21,-0.981978517527123,0.030539708165580406,0.22955629917928838,-1,-1,-1,-1,False,0.39042950066526116,0.01774654784950247,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,2,0.003058910369873047,2,-0.8137123187511023,0.17191547539899416,0.37582912511410255,-1,-1,-1,-1,True,0.0,0.0,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,3000,7.272318124771118,3001,-0.8394391710777198,0.0008154628419329178,0.02526460683671226,-1,-1,-1,-1,False,0.8797263991298795,0.025726852326617533,True,2770,2771,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1,0.00599217414855957,5,-0.9269628715445992,0.43410542755369097,0.6024617134460489,-1,-1,-1,-1,False,1.3179518407526198,0.11325055279349694,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1,0.008099555969238281,9,-0.9269588772276771,0.43145779834851533,0.6012546499143798,-1,-1,-1,-1,False,1.3165724409483786,0.11324655847657483,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1,0.019730806350708008,21,-0.9269308740251623,0.42355302976556586,0.5976240705599476,-1,-1,-1,-1,False,1.3123253912330701,0.11321855527406,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0
