experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,hit_F_le_1em03,hit_F_iter_le_1em03,hit_F_gibbs_le_1em03,hit_F_le_1em04,hit_F_iter_le_1em04,hit_F_gibbs_le_1em04,hit_F_le_1em05,hit_F_iter_le_1em05,hit_F_gibbs_le_1em05,hit_tr_le_1em03,hit_tr_iter_le_1em03,hit_tr_gibbs_le_1em03,hit_tr_le_1em04,hit_tr_iter_le_1em04,hit_tr_gibbs_le_1em04,hit_tr_le_1em05,hit_tr_iter_le_1em05,hit_tr_gibbs_le_1em05,small_kind,small_case,seed,eta,eta_rule
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,1000,4.432577133178711,1000,-0.9350118175284208,4.127951873991415e-09,6.898026871344273e-05,0,-1,1000,-1,True,0.0,0.0,True,0,1000,True,0,1000,True,0,1000,True,0,1000,True,0,1000,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,KL descent (eta=eps/N),,ok,False,3000,12.430501461029053,3001,-0.9796452217645646,0.02107338389264051,0.14546777998401472,-1,-1,-1,-1,False,0.3421384830875478,0.044633404236143814,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,ising,mixed,0,0.00025,eps_over_N
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,KL descent (eta=eps),,ok,False,3000,17.41980290412903,3001,-0.9350208563762273,1.3883894951757587e-06,0.0011292730629894887,-1,-1,-1,-1,False,0.005857572223320794,9.038847806563943e-06,True,1038,1039,True,1275,1276,True,1553,1554,False,-1,,False,-1,,False,-1,,ising,mixed,0,0.001,eps
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,3000,24.00512957572937,10478,-0.935029415198842,1.3939289558911079e-06,0.00113529924930178,-1,-1,-1,-1,False,0.005830622403310528,1.7597670421198863e-05,True,1036,4123,True,1268,5051,True,1542,6147,False,-1,,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,3000,30.754470348358154,16855,-0.9350389979587544,4.7376098994822825e-07,0.0006596663550365589,-1,-1,-1,-1,False,0.0033397989332561726,2.7180430333673122e-05,True,518,4121,True,634,5049,True,771,6145,True,1867,12058,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,3000,60.17032504081726,35245,-0.9350273022868838,2.6610036998573358e-08,0.00012646187305620504,-1,-1,-1,-1,False,0.0006188144796263445,1.548475846302466e-05,True,207,4121,True,254,5061,True,309,6161,True,764,12238,False,-1,,False,-1,,ising,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,True,326,0.16644501686096191,326,-0.8363267565837661,1.1384816748795535e-13,2.538092434963222e-07,0,-1,326,-1,True,0.0,0.0,True,0,326,True,0,326,True,0,326,True,0,326,True,0,326,True,0,326,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent (eta=eps/N),,ok,False,3000,15.138400793075562,3001,-0.8394391710777198,0.0008154628419329178,0.02526460683671226,-1,-1,-1,-1,False,0.0778595531794205,0.003112414493953719,True,2770,2771,False,-1,,False,-1,,False,-1,,False,-1,,False,-1,,random,mixed,0,0.00025,eps_over_N
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent (eta=eps),,ok,False,3000,7.7526185512542725,3001,-0.8364454526129695,1.8870351919305912e-06,0.0014201842764522007,-1,-1,-1,-1,False,0.003789512681120644,0.00011869602920344668,True,693,694,True,1433,1434,True,2295,2296,False,-1,,False,-1,,False,-1,,random,mixed,0,0.001,eps
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,3000,15.10038161277771,12001,-0.836420809753231,8.34429190608413e-07,0.0009977144161547702,-1,-1,-1,-1,False,0.002539034111534376,9.405316946486941e-05,True,663,2653,True,1337,5349,True,2092,8369,True,2999,11997,False,-1,,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,3000,39.365522384643555,18699,-0.836331359296075,1.914976032375509e-08,9.905658631504471e-05,-1,-1,-1,-1,False,0.00035363059609200054,4.60271230895426e-06,True,347,2777,True,717,5737,True,1108,8865,True,1575,12601,True,2515,18699,False,-1,,random,mixed,0,,
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,3000,38.495686292648315,18732,-0.8363351363219049,1.9914420601756575e-08,9.961971956931476e-05,-1,-1,-1,-1,False,0.0003329395178654905,8.379738138830639e-06,True,194,3881,True,394,7881,True,568,11361,True,748,14961,True,1073,18732,False,-1,,random,mixed,0,,
