experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,small_kind,small_case,seed
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,False,1000,3.1556434631347656,1000,-0.9350118175284208,4.127951873991415e-09,6.898026871344273e-05,0,-1,1000,-1,True,0.0,0.0,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,1000,3.516246795654297,1001,-0.9813072517830368,0.024025983541066852,0.16046134360944997,-1,-1,-1,-1,False,0.3581754079153574,0.04629543425461602,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1000,8.021061420440674,4001,-0.9778412849489257,0.01919444657876626,0.13918161350588187,-1,-1,-1,-1,False,0.3365077063048811,0.042829467420504974,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1000,13.93933367729187,8001,-0.9350469181226847,2.1066902831523983e-06,0.0015061916212572024,-1,-1,-1,-1,False,0.007002647513003522,3.510059426392598e-05,ising,mixed,0
small,-2,small_ising_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1000,28.09782123565674,20001,-0.9350143079232518,6.794664052201413e-07,0.0008066241633643556,-1,-1,-1,-1,False,0.004111836906420524,2.4903948310228685e-06,ising,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,True,326,0.10566115379333496,326,-0.8363267565837661,1.1384816748795535e-13,2.538092434963222e-07,0,-1,326,-1,True,0.0,0.0,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,KL descent,,ok,False,1000,1.2178552150726318,1001,-0.8433323979230856,0.006760393522218728,0.07807910199866831,-1,-1,-1,-1,False,0.20582686182050938,0.007005641339319468,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,False,1000,2.768338441848755,4001,-0.838595134166568,0.00029858237898145677,0.017545683497387728,-1,-1,-1,-1,False,0.04889332367460038,0.0022683775828018504,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,False,1000,5.702821493148804,8001,-0.8369365440931156,1.86643446169984e-05,0.005006317125261291,-1,-1,-1,-1,False,0.011701605977960588,0.0006097875093494798,random,mixed,0
small,-2,small_random_mixed_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,False,1000,10.269253730773926,20001,-0.8363495657791277,2.4501447622931954e-08,0.00017012358457793884,-1,-1,-1,-1,False,0.000341469053051898,2.2809195361572776e-05,random,mixed,0
