experiment,paper79_index,paper79_label,eps,dims,method,M_inner,status,converged,iters,time_sec,gibbs_calls,final_cost,final_F_marg,final_e_tr,hit_F_iter,hit_tr_iter,hit_F_gibbs,hit_tr_gibbs,same_limit_to_lbfgs,dist_pi_to_lbfgs,objective_gap_to_lbfgs,small_kind,small_case,seed
small,-2,small_ising_ground_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,True,6,1.6887969970703125,6,-0.9819797019985222,1.995855673832117e-13,4.467957389731897e-07,0,-1,6,-1,True,0.0,0.0,ising,ground,0
small,-2,small_ising_ground_N4_seed0,0.001,2x2x2x2,KL descent,,ok,True,1,0.0010030269622802734,2,-0.9819798341599226,3.592957541051502e-16,6.018284204323902e-10,0,0,1,1,True,7.112538337646361e-07,1.3216140037908275e-07,ising,ground,0
small,-2,small_ising_ground_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,True,0,0.0009725093841552734,1,-0.9819798341599226,1.8387956687417911e-16,6.028717525197184e-10,0,0,1,1,True,7.112532079349754e-07,1.3216140037908275e-07,ising,ground,0
small,-2,small_ising_ground_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,True,0,0.0010225772857666016,1,-0.9819798341599226,1.8387956687417911e-16,6.028717525197184e-10,0,0,1,1,True,7.112532079349754e-07,1.3216140037908275e-07,ising,ground,0
small,-2,small_ising_ground_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,True,0,0.001001119613647461,1,-0.9819798341599226,1.8387956687417911e-16,6.028717525197184e-10,0,0,1,1,True,7.112532079349754e-07,1.3216140037908275e-07,ising,ground,0
small,-2,small_random_ground_N4_seed0,0.001,2x2x2x2,L-BFGS entropy dual,,ok,True,2,0.0019979476928710938,2,-0.9269640363904672,7.358121895912195e-13,8.124908000541546e-07,0,-1,2,-1,True,0.0,0.0,random,ground,0
small,-2,small_random_ground_N4_seed0,0.001,2x2x2x2,KL descent,,ok,True,1,0.001964569091796875,2,-0.9269642022465576,-2.516255013868172e-16,1.178546367704297e-09,0,0,1,1,False,1.7606157407746562e-06,1.6585609041719351e-07,random,ground,0
small,-2,small_random_ground_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=1),1,ok,True,0,0.0009980201721191406,1,-0.9269642022465574,-1.4126728991894663e-16,1.1799642495723082e-09,0,0,1,1,False,1.7606174531555057e-06,1.658560901951489e-07,random,ground,0
small,-2,small_random_ground_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=2),2,ok,True,0,0.001001119613647461,1,-0.9269642022465574,-1.4126728991894663e-16,1.1799642495723082e-09,0,0,1,1,False,1.7606174531555057e-06,1.658560901951489e-07,random,ground,0
small,-2,small_random_ground_N4_seed0,0.001,2x2x2x2,MD-Sinkhorn (M=5),5,ok,True,0,0.001031637191772461,1,-0.9269642022465574,-1.4126728991894663e-16,1.1799642495723082e-09,0,0,1,1,False,1.7606174531555057e-06,1.658560901951489e-07,random,ground,0
