N,d,seed,eps,T_outer,eta_inner,M_inner,M_ref,converged,final_e_tr,gibbs_calls,ref_converged,same_limit_vs_ref,dist_pi_vs_ref
2,12,0,0.5,3000,1.0,1,1,True,9.356573651784134e-09,205,True,True,0.0
2,12,1,0.5,3000,1.0,1,1,True,9.582566918944375e-09,262,True,True,0.0
2,12,2,0.5,3000,1.0,1,1,True,8.206142071229457e-09,111,True,True,0.0
2,12,3,0.5,3000,1.0,1,1,True,9.72343526912852e-09,207,True,True,0.0
2,12,4,0.5,3000,1.0,1,1,True,8.861967658899203e-09,171,True,True,0.0
2,12,0,0.5,3000,1.0,2,1,True,9.257112095807957e-09,197,True,True,3.729371662737278e-09
2,12,1,0.5,3000,1.0,2,1,True,9.528634872801415e-09,252,True,True,1.082534703428847e-08
2,12,2,0.5,3000,1.0,2,1,True,8.52334319185688e-09,109,True,True,1.1227964489678384e-08
2,12,3,0.5,3000,1.0,2,1,True,9.90316203600036e-09,206,True,True,1.9572386711616316e-08
2,12,4,0.5,3000,1.0,2,1,True,9.824481853642291e-09,163,True,True,2.072303614857274e-08
2,12,0,0.5,3000,1.0,3,1,True,9.14164787355743e-09,191,True,True,9.106362536537901e-09
2,12,1,0.5,3000,1.0,3,1,True,9.494397067044785e-09,246,True,True,2.0787128202426568e-08
2,12,2,0.5,3000,1.0,3,1,True,9.524127482698168e-09,108,True,True,1.1769282496055689e-08
2,12,3,0.5,3000,1.0,3,1,True,9.668310582420136e-09,206,True,True,1.7213073090977278e-08
2,12,4,0.5,3000,1.0,3,1,True,9.586040211283885e-09,159,True,True,1.501789943750179e-08
